company_id,ticker,cik,taxonomy,source_tag,source_unit,form,filing_date,period_start,period_end,fiscal_year,fiscal_period,reported_fiscal_year,frame,duration_days,accession_number,value_raw,source_url,loaded_at
abnb,ABNB,0001559720,us-gaap,OperatingIncomeLoss,USD,10-K,2022-02-25,2020-01-01,2020-12-31,2020,FY,2021,,365.0,0001559720-22-000006,-3590147000.0,https://www.sec.gov/Archives/edgar/data/1559720/000155972022000006/,2026-08-05T17:49:37+00:00
abnb,ABNB,0001559720,us-gaap,OperatingIncomeLoss,USD,10-K,2023-02-17,2020-01-01,2020-12-31,2020,FY,2022,CY2020,365.0,0001559720-23-000003,-3590000000.0,https://www.sec.gov/Archives/edgar/data/1559720/000155972023000003/,2026-08-05T17:49:37+00:00
abnb,ABNB,0001559720,us-gaap,PaymentsToAcquirePropertyPlantAndEquipment,USD,10-K,2022-02-25,2020-01-01,2020-12-31,2020,FY,2021,,365.0,0001559720-22-000006,37371000.0,https://www.sec.gov/Archives/edgar/data/1559720/000155972022000006/,2026-08-05T17:49:37+00:00
abnb,ABNB,0001559720,us-gaap,PaymentsToAcquirePropertyPlantAndEquipment,USD,10-K,2023-02-17,2020-01-01,2020-12-31,2020,FY,2022,CY2020,365.0,0001559720-23-000003,37000000.0,https://www.sec.gov/Archives/edgar/data/1559720/000155972023000003/,2026-08-05T17:49:37+00:00
abnb,ABNB,0001559720,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,USD,10-K,2022-02-25,2020-01-01,2020-12-31,2020,FY,2021,,365.0,0001559720-22-000006,3378199000.0,https://www.sec.gov/Archives/edgar/data/1559720/000155972022000006/,2026-08-05T17:49:37+00:00
abnb,ABNB,0001559720,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,USD,10-K,2023-02-17,2020-01-01,2020-12-31,2020,FY,2022,CY2020,365.0,0001559720-23-000003,3378000000.0,https://www.sec.gov/Archives/edgar/data/1559720/000155972023000003/,2026-08-05T17:49:37+00:00
abnb,ABNB,0001559720,us-gaap,StockholdersEquity,USD,10-K,2022-02-25,,2020-12-31,2020,FY,2021,,,0001559720-22-000006,2901783000.0,https://www.sec.gov/Archives/edgar/data/1559720/000155972022000006/,2026-08-05T17:49:37+00:00
abnb,ABNB,0001559720,us-gaap,StockholdersEquity,USD,10-K,2023-02-17,,2020-12-31,2020,FY,2022,,,0001559720-23-000003,2901000000.0,https://www.sec.gov/Archives/edgar/data/1559720/000155972023000003/,2026-08-05T17:49:37+00:00
abnb,ABNB,0001559720,us-gaap,StockholdersEquity,USD,10-K,2024-02-16,,2020-12-31,2020,FY,2023,CY2020Q4I,,0001559720-24-000006,2901000000.0,https://www.sec.gov/Archives/edgar/data/1559720/000155972024000006/,2026-08-05T17:49:37+00:00
abnb,ABNB,0001559720,us-gaap,Assets,USD,10-K,2022-02-25,,2021-12-31,2021,FY,2021,,,0001559720-22-000006,13708474000.0,https://www.sec.gov/Archives/edgar/data/1559720/000155972022000006/,2026-08-05T17:49:37+00:00
abnb,ABNB,0001559720,us-gaap,Assets,USD,10-K,2023-02-17,,2021-12-31,2021,FY,2022,CY2021Q4I,,0001559720-23-000003,13708000000.0,https://www.sec.gov/Archives/edgar/data/1559720/000155972023000003/,2026-08-05T17:49:37+00:00
abnb,ABNB,0001559720,us-gaap,AssetsCurrent,USD,10-K,2022-02-25,,2021-12-31,2021,FY,2021,,,0001559720-22-000006,12386380000.0,https://www.sec.gov/Archives/edgar/data/1559720/000155972022000006/,2026-08-05T17:49:37+00:00
