company_id,ticker,cik,fiscal_year,period_end,start_date,canonical_field,taxonomy,source_tag,source_priority,value_reported,value_standardized,unit,unit_scale,form,fy,fp,frame,accession,filing_date,is_amendment,duration_days,source_url,loaded_at
chwy,CHWY,0001766502,2021,2022-01-30,2021-02-01,revenue,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,1,8890773000.0,8890.773,USD,USD_millions,10-K,2022,FY,,0001766502-23-000011,2023-03-22,0,363.0,https://www.sec.gov/Archives/edgar/data/1766502/000176650223000011/,2026-08-05T12:11:50+00:00
chwy,CHWY,0001766502,2021,2022-01-30,2021-02-01,revenue,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,1,8967407000.0,8967.407,USD,USD_millions,10-K,2023,FY,CY2021,0001766502-24-000014,2024-03-20,0,363.0,https://www.sec.gov/Archives/edgar/data/1766502/000176650224000014/,2026-08-05T12:11:50+00:00
chwy,CHWY,0001766502,2021,2022-01-30,,total_assets,us-gaap,Assets,1,2086281000.0,2086.281,USD,USD_millions,10-K,2021,FY,,0001766502-22-000008,2022-03-29,0,,https://www.sec.gov/Archives/edgar/data/1766502/000176650222000008/,2026-08-05T12:11:50+00:00
chwy,CHWY,0001766502,2021,2022-01-30,,total_assets,us-gaap,Assets,1,2086281000.0,2086.281,USD,USD_millions,10-K,2022,FY,CY2021Q4I,0001766502-23-000011,2023-03-22,0,,https://www.sec.gov/Archives/edgar/data/1766502/000176650223000011/,2026-08-05T12:11:50+00:00
chwy,CHWY,0001766502,2021,2022-01-30,,total_equity,us-gaap,StockholdersEquity,1,14736000.0,14.736,USD,USD_millions,10-K,2021,FY,,0001766502-22-000008,2022-03-29,0,,https://www.sec.gov/Archives/edgar/data/1766502/000176650222000008/,2026-08-05T12:11:50+00:00
chwy,CHWY,0001766502,2021,2022-01-30,,total_equity,us-gaap,StockholdersEquity,1,14736000.0,14.736,USD,USD_millions,10-K,2022,FY,,0001766502-23-000011,2023-03-22,0,,https://www.sec.gov/Archives/edgar/data/1766502/000176650223000011/,2026-08-05T12:11:50+00:00
chwy,CHWY,0001766502,2021,2022-01-30,,total_equity,us-gaap,StockholdersEquity,1,-39620000.0,-39.62,USD,USD_millions,10-K,2023,FY,,0001766502-24-000014,2024-03-20,0,,https://www.sec.gov/Archives/edgar/data/1766502/000176650224000014/,2026-08-05T12:11:50+00:00
chwy,CHWY,0001766502,2021,2022-01-30,,total_equity,us-gaap,StockholdersEquity,1,-39620000.0,-39.62,USD,USD_millions,10-K,2024,FY,CY2021Q4I,0001766502-25-000014,2025-03-26,0,,https://www.sec.gov/Archives/edgar/data/1766502/000176650225000014/,2026-08-05T12:11:50+00:00
chwy,CHWY,0001766502,2022,2023-01-29,2022-01-31,capital_expenditure,us-gaap,PaymentsToAcquireProductiveAssets,2,230310000.0,230.31,USD,USD_millions,10-K,2023,FY,,0001766502-24-000014,2024-03-20,0,363.0,https://www.sec.gov/Archives/edgar/data/1766502/000176650224000014/,2026-08-05T12:11:50+00:00
chwy,CHWY,0001766502,2022,2023-01-29,2022-01-31,capital_expenditure,us-gaap,PaymentsToAcquireProductiveAssets,2,230310000.0,230.31,USD,USD_millions,10-K,2024,FY,CY2022,0001766502-25-000014,2025-03-26,0,363.0,https://www.sec.gov/Archives/edgar/data/1766502/000176650225000014/,2026-08-05T12:11:50+00:00
chwy,CHWY,0001766502,2022,2023-01-29,,cash_and_equivalents,us-gaap,CashAndCashEquivalentsAtCarryingValue,1,330441000.0,330.441,USD,USD_millions,10-K,2022,FY,,0001766502-23-000011,2023-03-22,0,,https://www.sec.gov/Archives/edgar/data/1766502/000176650223000011/,2026-08-05T12:11:50+00:00
chwy,CHWY,0001766502,2022,2023-01-29,,cash_and_equivalents,us-gaap,CashAndCashEquivalentsAtCarryingValue,1,331641000.0,331.641,USD,USD_millions,10-K,2023,FY,CY2022Q4I,0001766502-24-000014,2024-03-20,0,,https://www.sec.gov/Archives/edgar/data/1766502/000176650224000014/,2026-08-05T12:11:50+00:00
chwy,CHWY,0001766502,2022,2023-01-29,,current_assets,us-gaap,AssetsCurrent,1,1520321000.0,1520.321,USD,USD_millions,10-K,2022,FY,,0001766502-23-000011,2023-03-22,0,,https://www.sec.gov/Archives/edgar/data/1766502/000176650223000011/,2026-08-05T12:11:50+00:00
chwy,CHWY,0001766502,2022,2023-01-29,,current_assets,us-gaap,AssetsCurrent,1,1524780000.0,1524.78,USD,USD_millions,10-K,2023,FY,CY2022Q4I,0001766502-24-000014,2024-03-20,0,,https://www.sec.gov/Archives/edgar/data/1766502/000176650224000014/,2026-08-05T12:11:50+00:00
