company_id,fiscal_year,canonical_field,override_type,source_tag_or_formula,accession_number,source_url,rationale,reviewer,review_date,status
dash,2021,capital_expenditure,documented_aggregation,PaymentsToAcquirePropertyPlantAndEquipment + PaymentsToDevelopSoftware,0001628280-24-005600,https://www.sec.gov/Archives/edgar/data/1792789/000162828024005600/,DoorDash project CapEx includes cash PP&E purchases plus capitalized internally developed software,Yifan Wang,2026-08-05,active
dash,2022,capital_expenditure,documented_aggregation,PaymentsToAcquirePropertyPlantAndEquipment + PaymentsToDevelopSoftware,0001628280-25-005715,https://www.sec.gov/Archives/edgar/data/1792789/000162828025005715/,DoorDash project CapEx includes cash PP&E purchases plus capitalized internally developed software,Yifan Wang,2026-08-05,active
dash,2023,capital_expenditure,documented_aggregation,PaymentsToAcquirePropertyPlantAndEquipment + PaymentsToDevelopSoftware,0001792789-26-000035,https://www.sec.gov/Archives/edgar/data/1792789/000179278926000035/,DoorDash project CapEx includes cash PP&E purchases plus capitalized internally developed software,Yifan Wang,2026-08-05,active
etsy,2021,capital_expenditure,documented_aggregation,PaymentsToAcquirePropertyPlantAndEquipment + PaymentsToDevelopSoftware,0001370637-24-000013,https://www.sec.gov/Archives/edgar/data/1370637/000137063724000013/,Etsy project CapEx includes cash PP&E purchases plus capitalized internally developed software,Yifan Wang,2026-08-05,active
etsy,2022,capital_expenditure,documented_aggregation,PaymentsToAcquirePropertyPlantAndEquipment + PaymentsToDevelopSoftware,0001370637-25-000017,https://www.sec.gov/Archives/edgar/data/1370637/000137063725000017/,Etsy project CapEx includes cash PP&E purchases plus capitalized internally developed software,Yifan Wang,2026-08-05,active
etsy,2023,capital_expenditure,documented_aggregation,PaymentsToAcquirePropertyPlantAndEquipment + PaymentsToDevelopSoftware,0001370637-26-000019,https://www.sec.gov/Archives/edgar/data/1370637/000137063726000019/,Etsy project CapEx includes cash PP&E purchases plus capitalized internally developed software,Yifan Wang,2026-08-05,active
