company_id,ticker,cik,fiscal_year,period_end,start_date,canonical_field,taxonomy,source_tag,source_priority,value_reported,value_standardized,unit,unit_scale,form,fy,fp,frame,accession,filing_date,is_amendment,duration_days,source_url,loaded_at,is_latest_restated,source_selection_note
amzn,AMZN,0001018724,2021,2021-12-31,2021-01-01,capital_expenditure,us-gaap,PaymentsToAcquireProductiveAssets,2,61053000000.0,61053.0,USD,USD_millions,10-K,2023,FY,CY2021,0001018724-24-000008,2024-02-02,0,364.0,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000008/,2026-08-05T12:11:50+00:00,True,Latest annual filing available by 2024-04-30; source-tag priority breaks ties
amzn,AMZN,0001018724,2021,2021-12-31,,cash_and_equivalents,us-gaap,CashAndCashEquivalentsAtCarryingValue,1,36220000000.0,36220.0,USD,USD_millions,10-K,2022,FY,CY2021Q4I,0001018724-23-000004,2023-02-03,0,,https://www.sec.gov/Archives/edgar/data/1018724/000101872423000004/,2026-08-05T12:11:50+00:00,True,Latest annual filing available by 2024-04-30; source-tag priority breaks ties
amzn,AMZN,0001018724,2021,2021-12-31,,current_assets,us-gaap,AssetsCurrent,1,161580000000.0,161580.0,USD,USD_millions,10-K,2022,FY,CY2021Q4I,0001018724-23-000004,2023-02-03,0,,https://www.sec.gov/Archives/edgar/data/1018724/000101872423000004/,2026-08-05T12:11:50+00:00,True,Latest annual filing available by 2024-04-30; source-tag priority breaks ties
amzn,AMZN,0001018724,2021,2021-12-31,,current_liabilities,us-gaap,LiabilitiesCurrent,1,142266000000.0,142266.0,USD,USD_millions,10-K,2022,FY,CY2021Q4I,0001018724-23-000004,2023-02-03,0,,https://www.sec.gov/Archives/edgar/data/1018724/000101872423000004/,2026-08-05T12:11:50+00:00,True,Latest annual filing available by 2024-04-30; source-tag priority breaks ties
amzn,AMZN,0001018724,2021,2021-12-31,,inventory,us-gaap,InventoryNet,1,32640000000.0,32640.0,USD,USD_millions,10-K,2022,FY,CY2021Q4I,0001018724-23-000004,2023-02-03,0,,https://www.sec.gov/Archives/edgar/data/1018724/000101872423000004/,2026-08-05T12:11:50+00:00,True,Latest annual filing available by 2024-04-30; source-tag priority breaks ties
amzn,AMZN,0001018724,2021,2021-12-31,,long_term_debt,us-gaap,LongTermDebtNoncurrent,1,48744000000.0,48744.0,USD,USD_millions,10-K,2022,FY,CY2021Q4I,0001018724-23-000004,2023-02-03,0,,https://www.sec.gov/Archives/edgar/data/1018724/000101872423000004/,2026-08-05T12:11:50+00:00,True,Latest annual filing available by 2024-04-30; source-tag priority breaks ties
amzn,AMZN,0001018724,2021,2021-12-31,2021-01-01,net_income,us-gaap,NetIncomeLoss,1,33364000000.0,33364.0,USD,USD_millions,10-K,2023,FY,,0001018724-24-000008,2024-02-02,0,364.0,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000008/,2026-08-05T12:11:50+00:00,True,Latest annual filing available by 2024-04-30; source-tag priority breaks ties
amzn,AMZN,0001018724,2021,2021-12-31,2021-01-01,operating_cash_flow,us-gaap,NetCashProvidedByUsedInOperatingActivities,1,46327000000.0,46327.0,USD,USD_millions,10-K,2023,FY,CY2021,0001018724-24-000008,2024-02-02,0,364.0,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000008/,2026-08-05T12:11:50+00:00,True,Latest annual filing available by 2024-04-30; source-tag priority breaks ties
amzn,AMZN,0001018724,2021,2021-12-31,2021-01-01,operating_income,us-gaap,OperatingIncomeLoss,1,24879000000.0,24879.0,USD,USD_millions,10-K,2023,FY,CY2021,0001018724-24-000008,2024-02-02,0,364.0,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000008/,2026-08-05T12:11:50+00:00,True,Latest annual filing available by 2024-04-30; source-tag priority breaks ties
amzn,AMZN,0001018724,2021,2021-12-31,2021-01-01,revenue,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,1,469822000000.0,469822.0,USD,USD_millions,10-K,2023,FY,CY2021,0001018724-24-000008,2024-02-02,0,364.0,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000008/,2026-08-05T12:11:50+00:00,True,Latest annual filing available by 2024-04-30; source-tag priority breaks ties
amzn,AMZN,0001018724,2021,2021-12-31,,total_assets,us-gaap,Assets,1,420549000000.0,420549.0,USD,USD_millions,10-K,2023,FY,CY2021Q4I,0001018724-24-000008,2024-02-02,0,,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000008/,2026-08-05T12:11:50+00:00,True,Latest annual filing available by 2024-04-30; source-tag priority breaks ties
amzn,AMZN,0001018724,2021,2021-12-31,,total_equity,us-gaap,StockholdersEquity,1,138245000000.0,138245.0,USD,USD_millions,10-K,2023,FY,,0001018724-24-000008,2024-02-02,0,,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000008/,2026-08-05T12:11:50+00:00,True,Latest annual filing available by 2024-04-30; source-tag priority breaks ties
amzn,AMZN,0001018724,2021,2021-12-31,,total_liabilities,project,derived:Assets-StockholdersEquity,99,282304000000.0,282304.0,USD,USD_millions,10-K,2023,FY,CY2021Q4I,0001018724-24-000008,2024-02-02,0,,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000008/,2026-08-05T12:11:50+00:00,True,Latest annual filing available by 2024-04-30; source-tag priority breaks ties
amzn,AMZN,0001018724,2022,2022-12-31,2022-01-01,capital_expenditure,us-gaap,PaymentsToAcquireProductiveAssets,2,63645000000.0,63645.0,USD,USD_millions,10-K,2023,FY,,0001018724-24-000008,2024-02-02,0,364.0,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000008/,2026-08-05T12:11:50+00:00,True,Latest annual filing available by 2024-04-30; source-tag priority breaks ties
amzn,AMZN,0001018724,2022,2022-12-31,,cash_and_equivalents,us-gaap,CashAndCashEquivalentsAtCarryingValue,1,53888000000.0,53888.0,USD,USD_millions,10-K,2023,FY,CY2022Q4I,0001018724-24-000008,2024-02-02,0,,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000008/,2026-08-05T12:11:50+00:00,True,Latest annual filing available by 2024-04-30; source-tag priority breaks ties
amzn,AMZN,0001018724,2022,2022-12-31,,current_assets,us-gaap,AssetsCurrent,1,146791000000.0,146791.0,USD,USD_millions,10-K,2023,FY,CY2022Q4I,0001018724-24-000008,2024-02-02,0,,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000008/,2026-08-05T12:11:50+00:00,True,Latest annual filing available by 2024-04-30; source-tag priority breaks ties
amzn,AMZN,0001018724,2022,2022-12-31,,current_liabilities,us-gaap,LiabilitiesCurrent,1,155393000000.0,155393.0,USD,USD_millions,10-K,2023,FY,CY2022Q4I,0001018724-24-000008,2024-02-02,0,,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000008/,2026-08-05T12:11:50+00:00,True,Latest annual filing available by 2024-04-30; source-tag priority breaks ties
amzn,AMZN,0001018724,2022,2022-12-31,,inventory,us-gaap,InventoryNet,1,34405000000.0,34405.0,USD,USD_millions,10-K,2023,FY,CY2022Q4I,0001018724-24-000008,2024-02-02,0,,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000008/,2026-08-05T12:11:50+00:00,True,Latest annual filing available by 2024-04-30; source-tag priority breaks ties
amzn,AMZN,0001018724,2022,2022-12-31,,long_term_debt,us-gaap,LongTermDebtNoncurrent,1,67150000000.0,67150.0,USD,USD_millions,10-K,2023,FY,CY2022Q4I,0001018724-24-000008,2024-02-02,0,,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000008/,2026-08-05T12:11:50+00:00,True,Latest annual filing available by 2024-04-30; source-tag priority breaks ties
amzn,AMZN,0001018724,2022,2022-12-31,2022-01-01,net_income,us-gaap,NetIncomeLoss,1,-2722000000.0,-2722.0,USD,USD_millions,10-K,2023,FY,,0001018724-24-000008,2024-02-02,0,364.0,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000008/,2026-08-05T12:11:50+00:00,True,Latest annual filing available by 2024-04-30; source-tag priority breaks ties
amzn,AMZN,0001018724,2022,2022-12-31,2022-01-01,operating_cash_flow,us-gaap,NetCashProvidedByUsedInOperatingActivities,1,46752000000.0,46752.0,USD,USD_millions,10-K,2023,FY,,0001018724-24-000008,2024-02-02,0,364.0,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000008/,2026-08-05T12:11:50+00:00,True,Latest annual filing available by 2024-04-30; source-tag priority breaks ties
