ticker,fiscal_year,period_end_date,currency,revenue,gross_profit,operating_income,net_income,total_assets,total_liabilities,total_equity,current_assets,current_liabilities,cash_and_equivalents,inventory,long_term_debt,operating_cash_flow,capital_expenditure,free_cash_flow,shares_outstanding,source,source_url,notes,company_name,primary_business_model,detailed_peer_group,analysis_peer_group,comparability_note,ticker_year_version_count,is_latest_restated,source_selection_method,source_selection_note,prior_fiscal_year,prior_total_assets,prior_total_equity,prior_revenue,prior_net_income,average_assets,average_equity,net_margin,operating_margin,gross_margin,current_ratio,quick_ratio,cash_ratio,liabilities_to_assets,long_term_debt_to_assets,operating_cash_flow_margin,free_cash_flow_margin,capital_expenditure_intensity,free_cash_flow_conversion,revenue_growth,net_income_growth,asset_turnover,equity_multiplier,roe,roa,average_balance_available_flag,positive_average_equity_flag,dupont_roe,dupont_valid_flag,roe_valid_flag,near_zero_average_equity_flag,one_off_net_income_warning_flag,structural_break_flag,cash_scope_warning_flag,quality_warning_count,quality_warnings,dupont_identity_gap,dupont_validity_reason,valid_peer_roe_count,roe_ascending_rank,peer_median_roe,peer_median_net_margin,peer_median_asset_turnover,peer_median_equity_multiplier,peer_median_operating_margin,peer_median_current_ratio,peer_median_liabilities_to_assets,peer_median_free_cash_flow_margin,roe_vs_peer_median,net_margin_vs_peer_median,asset_turnover_vs_peer_median,equity_multiplier_vs_peer_median,fcf_margin_vs_peer_median,roe_peer_percentile
AMZN,2021,2021-12-31,USD,469822.0,197478.0,24879.0,33364.0,420549.0,282304.0,138245.0,161580.0,142266.0,36220.0,32640.0,48744.0,46327.0,61053.0,-14726.0,10175.0,SEC 10-K,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000008/amzn-20231231.htm | https://www.sec.gov/Archives/edgar/data/1018724/000101872423000004/amzn-20221231.htm,"USD millions; fiscal-year-end shares in millions. Gross profit derived as revenue minus cost of sales. CapEx is gross purchases of property and equipment, entered as a positive amount; project FCF = OCF - CapEx and therefore differs from Amazon's issuer-defined non-GAAP FCF. Latest comparative 2023 10-K used for income/cash-flow data; 2021 balance sheet from 2022 10-K.",Amazon.com Inc,hybrid_retail_marketplace,hybrid_retail_marketplace,Inventory-led E-commerce,Hybrid retail and marketplace; comparisons are descriptive because the sample is small,1,True,manual_verified_latest_comparative_filing,Single manually verified company-year version in the current source dataset,,,,,,,,0.07101412875514557,0.052954097509269465,0.420325144416396,1.1357597739445826,0.9063303951752352,0.2545935079358385,0.6712749287241201,0.11590563763081116,0.09860542929024184,-0.03134378551877094,0.12994921480901278,-0.3178707880933365,,,,,,,False,,,False,False,False,False,False,False,1,Prior-year balance unavailable,,missing_prior_balance,0,1,,0.03131371171721065,,,0.022375194115941518,0.9701988417403928,0.8321058212133183,-0.015194776018726772,,0.039700417037934914,,,-0.01614900950004417,
AMZN,2022,2022-12-31,USD,513983.0,225152.0,12248.0,-2722.0,462675.0,316632.0,146043.0,146791.0,155393.0,53888.0,34405.0,67150.0,46752.0,63645.0,-16893.0,10242.0,SEC 10-K,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000008/amzn-20231231.htm,"USD millions; fiscal-year-end shares in millions. Gross profit derived as revenue minus cost of sales. CapEx is gross purchases of property and equipment, entered as a positive amount; project FCF = OCF - CapEx and therefore differs from Amazon's issuer-defined non-GAAP FCF. Latest comparative 2023 10-K.",Amazon.com Inc,hybrid_retail_marketplace,hybrid_retail_marketplace,Inventory-led E-commerce,Hybrid retail and marketplace; comparisons are descriptive because the sample is small,1,True,manual_verified_latest_comparative_filing,Single manually verified company-year version in the current source dataset,2021,420549.0,138245.0,469822.0,33364.0,441612.0,142144.0,-0.005295895000418302,0.023829581912242232,0.43805339865326287,0.9446435811136924,0.7232372114574016,0.3467852477267316,0.6843507861890096,0.14513427351812827,0.09096020685509054,-0.032866845790619534,0.12382705264571008,-0.361332135523614,0.09399517263985091,-1.0815849418534949,1.163879151834642,3.106793111211166,-0.01914959477712742,-0.006163781781292175,True,True,-0.019149594777127417,True,True,False,False,False,False,0,,-3.469446951953614e-18,valid,2,1,0.2755558281971372,-0.0001823382502832687,2.778809421745646,14.713378613158554,0.014702665252000155,0.8894485026645127,0.8103738899700728,-0.01053031982188354,-0.2947054229742646,-0.005113556750135033,-1.6149302699110037,-11.606585501947388,-0.022336525968735994,0.0
AMZN,2023,2023-12-31,USD,574785.0,270046.0,36852.0,30425.0,527854.0,325979.0,201875.0,172351.0,164917.0,73387.0,33318.0,58314.0,84946.0,52729.0,32217.0,10383.0,SEC 10-K,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000008/amzn-20231231.htm,"USD millions; fiscal-year-end shares in millions. Gross profit derived as revenue minus cost of sales. CapEx is gross purchases of property and equipment, entered as a positive amount; project FCF = OCF - CapEx and therefore differs from Amazon's issuer-defined non-GAAP FCF. Latest comparative 2023 10-K.",Amazon.com Inc,hybrid_retail_marketplace,hybrid_retail_marketplace,Inventory-led E-commerce,Hybrid retail and marketplace; comparisons are descriptive because the sample is small,1,True,manual_verified_latest_comparative_filing,Single manually verified company-year version in the current source dataset,2022,462675.0,146043.0,513983.0,-2722.0,495264.5,173959.0,0.05293283575597832,0.0641144079960333,0.46982088955000567,1.0450772206625152,0.8430483212767634,0.4449935422060794,0.6175552330758126,0.11047372947822694,0.14778743356211452,0.0560505232391242,0.09173691032299033,0.37926447390106655,0.1182957412988368,-12.177443056576047,1.1605616796681368,2.8470185503480705,0.1748975333268184,0.06143182077455582,True,True,0.17489753332681834,True,True,False,False,False,False,0,,5.551115123125783e-17,valid,2,2,0.14647828440507527,0.028241668781312887,2.5337356485850226,5.678965553361449,0.030997570279193427,1.020992096725775,0.7287230422889063,0.0434063888814596,0.028419248921743134,0.024691166974665432,-1.3731739689168858,-2.8319470030133784,0.0126441343576646,1.0
BKNG,2021,2021-12-31,USD,10958.0,,2496.0,1165.0,23641.0,17463.0,6178.0,13145.0,6246.0,11127.0,,8937.0,2820.0,304.0,2516.0,41.066,SEC 10-K,https://www.sec.gov/Archives/edgar/data/1075531/000107553124000014/bkng-20231231.htm | https://www.sec.gov/Archives/edgar/data/1075531/000107553123000016/bkng-20221231.htm,USD millions; fiscal-year-end shares in millions. Gross profit and inventory are left blank because Booking Holdings does not present reliable consolidated lines under the project definition. CapEx is additions to property and equipment entered as positive. 2021 balance sheet from Booking Holdings 2022 Form 10-K.,Booking Holdings Inc,travel_booking_platform,travel_booking_platform,Marketplace / Platform,Travel platform; merchant bookings and buybacks affect cash flow and equity,1,True,manual_verified_latest_comparative_filing,Single manually verified company-year version in the current source dataset,,,,,,,,0.10631502098923161,0.2277787917503194,,2.1045469100224143,,1.781460134486071,0.7386743369569815,0.3780296941753733,0.2573462310640628,0.22960394232524184,0.027742288738820953,0.8921985815602836,,,,,,,False,,,False,False,False,False,False,False,3,Gross profit unavailable; Inventory unavailable or not applicable; Prior-year balance unavailable,,missing_prior_balance,0,1,,0.15910058584429812,,,0.21386990348449098,2.1418829015891134,0.6857196517655034,0.22099199035647887,,-0.05278556485506651,,,0.008611951968762965,
BKNG,2022,2022-12-31,USD,17090.0,,5102.0,3058.0,25361.0,22579.0,2782.0,15798.0,8474.0,12221.0,,11985.0,6554.0,368.0,6186.0,37.863,SEC 10-K,https://www.sec.gov/Archives/edgar/data/1075531/000107553124000014/bkng-20231231.htm,USD millions; fiscal-year-end shares in millions. Gross profit and inventory are left blank because Booking Holdings does not present reliable consolidated lines under the project definition. CapEx is additions to property and equipment entered as positive.,Booking Holdings Inc,travel_booking_platform,travel_booking_platform,Marketplace / Platform,Travel platform; merchant bookings and buybacks affect cash flow and equity,1,True,manual_verified_latest_comparative_filing,Single manually verified company-year version in the current source dataset,2021,23641.0,6178.0,10958.0,1165.0,24501.0,4480.0,0.1789350497366881,0.29853715623171445,,1.8642907717724806,,1.442176067972622,0.8903040100942392,0.4725760025235598,0.383499122293739,0.36196606202457576,0.021533060269163254,0.9438510833079036,0.5595911662712174,1.624892703862661,0.6975225500999959,5.468973214285715,0.6825892857142857,0.1248112321946043,True,True,0.6825892857142857,True,True,False,False,False,False,2,Gross profit unavailable; Inventory unavailable or not applicable,0.0,valid,4,4,-0.20450763820904766,-0.16845408343315035,0.7453753249355264,4.324333234964168,0.03458775162748853,2.019712700332506,0.8215788635603091,0.21934865917589041,0.8870969239233333,0.34738913316983844,-0.04785277483553052,1.1446399793215463,0.14261740284868535,1.0
BKNG,2023,2023-12-31,USD,21365.0,,5835.0,4289.0,24342.0,27086.0,-2744.0,17034.0,13330.0,12107.0,,12223.0,7344.0,345.0,6999.0,34.398,SEC 10-K,https://www.sec.gov/Archives/edgar/data/1075531/000107553124000014/bkng-20231231.htm,USD millions; fiscal-year-end shares in millions. Gross profit and inventory are left blank because Booking Holdings does not present reliable consolidated lines under the project definition. CapEx is additions to property and equipment entered as positive. Negative equity reflects treasury stock and buyback effects.,Booking Holdings Inc,travel_booking_platform,travel_booking_platform,Marketplace / Platform,Travel platform; merchant bookings and buybacks affect cash flow and equity,1,True,manual_verified_latest_comparative_filing,Single manually verified company-year version in the current source dataset,2022,25361.0,2782.0,17090.0,3058.0,24851.5,19.0,0.2007488883688275,0.2731102270067868,,1.2778694673668418,,0.9082520630157539,1.112726973954482,0.5021362254539479,0.3437397612918324,0.327591855838989,0.016147905452843437,0.9530228758169934,0.2501462843768285,0.4025506867233486,0.8597066575458222,1307.9736842105262,225.73684210526315,0.17258515582560408,True,True,225.73684210526312,True,True,True,False,False,False,3,Gross profit unavailable; Inventory unavailable or not applicable; Near-zero average equity; ROE is mechanically unstable,2.842170943040401e-14,valid,3,3,0.47917568620659795,0.15632892204534768,0.8484591073263337,3.6773746644731147,0.1468853072230954,1.925407168177951,0.9084448930826989,0.21850175844775788,225.25766641905656,0.04441996632347983,0.011247550219488534,1304.2963095460532,0.1090900973912311,1.0
CHWY,2021,2022-01-30,USD,8967.407,2385.471,-73.566,-75.207,2086.281,2071.545,14.736,1323.532,1644.879,603.079,560.43,0.0,191.743,183.186,8.557,420.106,SEC 10-K,https://www.sec.gov/Archives/edgar/data/1766502/000176650224000014/chwy-20240128.htm | https://www.sec.gov/Archives/edgar/data/1766502/000176650223000011/chwy-20230129.htm,USD millions converted from 10-K values reported in USD thousands; fiscal-year-end shares in millions. Chewy fiscal year ends on the Sunday closest to January 31. Income statement and cash-flow values use Chewy 2024 Form 10-K comparative restated data; 2021 balance sheet from Chewy 2023 Form 10-K.,Chewy Inc,first_party_retail,first_party_retail,Inventory-led E-commerce,First-party retailer with a 52/53-week fiscal year,1,True,manual_verified_latest_comparative_filing,Latest restated comparative series documented in source mapping,,,,,,,,-0.008386705320724263,-0.00820370927738643,0.266015694391924,0.804637909536203,0.46392591795505933,0.3666403425419134,0.9929367137025167,0.0,0.021382212271618763,0.0009542334813173977,0.02042797879030137,0.04462744402663983,,,,,,,False,,,False,False,False,False,False,True,3,Prior-year balance unavailable; Cash-only liquidity excludes material marketable securities; Restated comparative data,,missing_prior_balance,0,1,,0.03131371171721065,,,0.022375194115941518,0.9701988417403928,0.8321058212133183,-0.015194776018726772,,-0.039700417037934914,,,0.016149009500044168,
CHWY,2022,2023-01-29,USD,10119.0,2834.495,56.421,49.899,2519.818,2359.55,160.268,1524.78,1827.718,331.641,678.005,0.0,349.777,230.31,119.467,425.349,SEC 10-K,https://www.sec.gov/Archives/edgar/data/1766502/000176650224000014/chwy-20240128.htm,USD millions converted from 10-K values reported in USD thousands; fiscal-year-end shares in millions. Chewy fiscal year ends on the Sunday closest to January 31. Uses latest comparative restated values from Chewy 2024 Form 10-K.,Chewy Inc,first_party_retail,first_party_retail,Inventory-led E-commerce,First-party retailer with a 52/53-week fiscal year,1,True,manual_verified_latest_comparative_filing,Latest restated comparative series documented in source mapping,2021,2086.281,14.736,8967.407,-75.207,2303.0495,87.502,0.004931218499851764,0.0055757485917580785,0.28011611819349735,0.834253424215333,0.4632963071983752,0.18145085839281552,0.9363969937511359,0.0,0.03456636031228382,0.011806206146852455,0.022760154165431368,0.3415519030696701,0.12841984310514754,-1.6634887709920618,4.393739691656649,26.319964115105943,0.5702612511714018,0.021666490451030255,True,True,0.5702612511714019,True,True,False,False,False,True,2,Cash-only liquidity excludes material marketable securities; Restated comparative data,-1.1102230246251565e-16,valid,2,2,0.2755558281971372,-0.0001823382502832687,2.778809421745646,14.713378613158554,0.014702665252000155,0.8894485026645127,0.8103738899700728,-0.01053031982188354,0.2947054229742646,0.005113556750135033,1.6149302699110035,11.60658550194739,0.022336525968735997,1.0
CHWY,2023,2024-01-28,USD,11147.72,3161.518,-23.625,39.58,3186.851,2676.607,510.244,2104.348,2110.877,602.232,719.273,0.0,486.211,143.282,342.929,431.776,SEC 10-K,https://www.sec.gov/Archives/edgar/data/1766502/000176650224000014/chwy-20240128.htm,USD millions converted from 10-K values reported in USD thousands; fiscal-year-end shares in millions. Chewy fiscal year ends on the Sunday closest to January 31. CapEx entered as positive; FCF = OCF - CapEx.,Chewy Inc,first_party_retail,first_party_retail,Inventory-led E-commerce,First-party retailer with a 52/53-week fiscal year,1,True,manual_verified_latest_comparative_filing,Latest restated comparative series documented in source mapping,2022,2519.818,160.268,10119.0,49.899,2853.3345,335.25600000000003,0.003550501806647458,-0.0021192674376464427,0.28360220744690395,0.9969069727890351,0.6561609226875843,0.2852994276786378,0.8398908515019999,0.0,0.04361528635451913,0.030762254523795,0.012853031830724133,0.705309011931034,0.10166221958691568,-0.20679773141746327,3.9069096175019085,8.510912556374828,0.11805903548333213,0.013871489655348856,True,True,0.11805903548333212,True,True,False,False,False,True,1,Cash-only liquidity excludes material marketable securities,1.3877787807814457e-17,valid,2,1,0.14647828440507527,0.028241668781312887,2.5337356485850226,5.678965553361449,0.030997570279193427,1.020992096725775,0.7287230422889063,0.0434063888814596,-0.028419248921743134,-0.02469116697466543,1.3731739689168858,2.8319470030133793,-0.012644134357664597,0.0
DASH,2021,2021-12-31,USD,4888.0,,-452.0,-468.0,6809.0,2142.0,4667.0,4565.0,1760.0,2504.0,,0.0,692.0,237.0,455.0,346.512,SEC 10-K,https://www.sec.gov/Archives/edgar/data/1792789/000162828024005600/dash-20231231.htm | https://www.sec.gov/Archives/edgar/data/1792789/000162828023005131/dash-20221231.htm,USD millions; fiscal-year-end shares in millions. Inventory is not separately reported and is left blank rather than set to zero. Gross profit is left blank because DoorDash does not present it as a primary statement line. CapEx includes purchases of property and equipment plus capitalized software and website development costs; entered as positive. 2021 balance sheet from DoorDash 2022 Form 10-K.,DoorDash Inc,food_delivery_local_commerce,food_delivery_local_commerce,Marketplace / Platform,Local-commerce platform; Wolt acquisition affects year-over-year comparability,1,True,manual_verified_latest_comparative_filing,Single manually verified company-year version in the current source dataset,,,,,,,,-0.09574468085106383,-0.09247135842880523,,2.59375,,1.4227272727272726,0.31458363930092526,0.0,0.14157119476268412,0.09308510638297872,0.0484860883797054,0.6575144508670521,,,,,,,False,,,False,False,False,False,False,True,4,Gross profit unavailable; Inventory unavailable or not applicable; Prior-year balance unavailable; Cash-only liquidity excludes material marketable securities,,missing_prior_balance,0,1,,0.15910058584429812,,,0.21386990348449098,2.1418829015891134,0.6857196517655034,0.22099199035647887,,-0.25484526669536195,,,-0.12790688397350014,
