fiscal_year,h1_driver_group,transitions,unique_companies
2019,leverage_driven,3,3
2019,operating_driven,1,1
2020,operating_driven,4,4
2021,leverage_driven,1,1
2021,operating_driven,5,5
2022,operating_driven,4,4
2023,operating_driven,3,3
