company_id,ticker,period_end,fiscal_year,canonical_field,winning_tag,discarded_tag,winning_value,discarded_value,relative_difference,resolution_rule,conflict_severity,winning_accession,discarded_accession
bkng,BKNG,2017-12-31,2017,net_income,NetIncomeLossAvailableToCommonStockholdersBasic,NetIncomeLossAvailableToCommonStockholdersBasic,2341.0,2341.0,0.0,latest valid filing then configured source-tag priority,low,0001075531-20-000011,0001075531-19-000009
bkng,BKNG,2017-12-31,2017,net_income,NetIncomeLossAvailableToCommonStockholdersBasic,NetIncomeLossAvailableToCommonStockholdersBasic,2341.0,2340.765,0.00010038445108933248,latest valid filing then configured source-tag priority,low,0001075531-20-000011,0001075531-18-000015
bkng,BKNG,2017-12-31,2017,revenue,Revenues,Revenues,12681.0,12681.0,0.0,latest valid filing then configured source-tag priority,low,0001075531-20-000011,0001075531-19-000009
bkng,BKNG,2017-12-31,2017,revenue,Revenues,SalesRevenueNet,12681.0,12681.082,6.466367005783037e-06,latest valid filing then configured source-tag priority,low,0001075531-20-000011,0001075531-18-000015
bkng,BKNG,2017-12-31,2017,total_assets,Assets,Assets,25451.0,25451.263,1.0333582177478703e-05,latest valid filing then configured source-tag priority,low,0001075531-19-000009,0001075531-18-000015
bkng,BKNG,2017-12-31,2017,total_equity,StockholdersEquity,StockholdersEquity,11261.0,11261.0,0.0,latest valid filing then configured source-tag priority,low,0001075531-21-000019,0001075531-20-000011
bkng,BKNG,2017-12-31,2017,total_equity,StockholdersEquity,StockholdersEquity,11261.0,11261.0,0.0,latest valid filing then configured source-tag priority,low,0001075531-21-000019,0001075531-19-000009
bkng,BKNG,2017-12-31,2017,total_equity,StockholdersEquity,StockholdersEquity,11261.0,11260.598,3.5698428203538196e-05,latest valid filing then configured source-tag priority,low,0001075531-21-000019,0001075531-18-000015
boxd,BOXD,2019-12-31,2019,net_income,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,-65.402,-66.557122,0.017661875783615267,latest valid filing then configured source-tag priority,medium,0001828672-22-000026,0001828672-22-000026
boxd,BOXD,2020-12-31,2020,net_income,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,-34.436576,-35.52687,0.03166092935604283,latest valid filing then configured source-tag priority,medium,0001828672-22-000026,0001828672-22-000026
boxd,BOXD,2021-12-31,2021,net_income,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,-69.222605,-67.183461,0.029457776112297527,latest valid filing then configured source-tag priority,medium,0001828672-22-000026,0001828672-22-000026
byon,BYON,2017-12-31,2017,net_income,NetIncomeLoss,ProfitLoss,-109.878,-111.922,0.01860244998998887,latest valid filing then configured source-tag priority,medium,0001130713-20-000014,0001130713-20-000014
byon,BYON,2017-12-31,2017,net_income,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,-109.878,-107.134,0.024973152041354956,latest valid filing then configured source-tag priority,medium,0001130713-20-000014,0001130713-20-000014
byon,BYON,2017-12-31,2017,net_income,NetIncomeLoss,NetIncomeLoss,-109.878,-109.878,0.0,latest valid filing then configured source-tag priority,low,0001130713-20-000014,0001130713-19-000016
byon,BYON,2017-12-31,2017,net_income,NetIncomeLoss,ProfitLoss,-109.878,-111.922,0.01860244998998887,latest valid filing then configured source-tag priority,medium,0001130713-20-000014,0001130713-19-000016
byon,BYON,2017-12-31,2017,net_income,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,-109.878,-107.134,0.024973152041354956,latest valid filing then configured source-tag priority,medium,0001130713-20-000014,0001130713-19-000016
byon,BYON,2017-12-31,2017,net_income,NetIncomeLoss,NetIncomeLoss,-109.878,-109.878,0.0,latest valid filing then configured source-tag priority,low,0001130713-20-000014,0001130713-18-000019
byon,BYON,2017-12-31,2017,net_income,NetIncomeLoss,ProfitLoss,-109.878,-111.922,0.01860244998998887,latest valid filing then configured source-tag priority,medium,0001130713-20-000014,0001130713-18-000019
byon,BYON,2017-12-31,2017,net_income,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,-109.878,-107.134,0.024973152041354956,latest valid filing then configured source-tag priority,medium,0001130713-20-000014,0001130713-18-000019
byon,BYON,2017-12-31,2017,total_equity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockholdersEquity,172.123,175.628,0.02036334481736895,latest valid filing then configured source-tag priority,medium,0001130713-20-000014,0001130713-19-000016
byon,BYON,2017-12-31,2017,total_equity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,172.123,172.123,0.0,latest valid filing then configured source-tag priority,low,0001130713-20-000014,0001130713-19-000016
byon,BYON,2017-12-31,2017,total_equity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockholdersEquity,172.123,175.628,0.02036334481736895,latest valid filing then configured source-tag priority,medium,0001130713-20-000014,0001130713-18-000019
byon,BYON,2017-12-31,2017,total_equity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,172.123,172.123,0.0,latest valid filing then configured source-tag priority,low,0001130713-20-000014,0001130713-18-000019
byon,BYON,2018-12-31,2018,net_income,NetIncomeLoss,ProfitLoss,-206.07,-217.57,0.0558062794196147,latest valid filing then configured source-tag priority,high,0001130713-21-000019,0001130713-21-000019
byon,BYON,2018-12-31,2018,net_income,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,-206.07,-204.877,0.005789294899791254,latest valid filing then configured source-tag priority,medium,0001130713-21-000019,0001130713-21-000019
byon,BYON,2018-12-31,2018,net_income,NetIncomeLoss,NetIncomeLoss,-206.07,-206.07,0.0,latest valid filing then configured source-tag priority,low,0001130713-21-000019,0001130713-20-000014
byon,BYON,2018-12-31,2018,net_income,NetIncomeLoss,ProfitLoss,-206.07,-217.57,0.0558062794196147,latest valid filing then configured source-tag priority,high,0001130713-21-000019,0001130713-20-000014
byon,BYON,2018-12-31,2018,net_income,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,-206.07,-204.877,0.005789294899791254,latest valid filing then configured source-tag priority,medium,0001130713-21-000019,0001130713-20-000014
byon,BYON,2018-12-31,2018,net_income,NetIncomeLoss,NetIncomeLoss,-206.07,-206.07,0.0,latest valid filing then configured source-tag priority,low,0001130713-21-000019,0001130713-19-000016
byon,BYON,2018-12-31,2018,net_income,NetIncomeLoss,ProfitLoss,-206.07,-217.57,0.0558062794196147,latest valid filing then configured source-tag priority,high,0001130713-21-000019,0001130713-19-000016
byon,BYON,2018-12-31,2018,net_income,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,-206.07,-204.877,0.005789294899791254,latest valid filing then configured source-tag priority,medium,0001130713-21-000019,0001130713-19-000016
byon,BYON,2018-12-31,2018,total_equity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockholdersEquity,210.706,131.746,0.3747401592740595,latest valid filing then configured source-tag priority,high,0001130713-21-000019,0001130713-20-000014
byon,BYON,2018-12-31,2018,total_equity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,210.706,210.706,0.0,latest valid filing then configured source-tag priority,low,0001130713-21-000019,0001130713-20-000014
byon,BYON,2018-12-31,2018,total_equity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockholdersEquity,210.706,131.746,0.3747401592740595,latest valid filing then configured source-tag priority,high,0001130713-21-000019,0001130713-19-000016
byon,BYON,2018-12-31,2018,total_equity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,210.706,210.706,0.0,latest valid filing then configured source-tag priority,low,0001130713-21-000019,0001130713-19-000016
byon,BYON,2019-12-31,2019,net_income,NetIncomeLoss,ProfitLoss,-121.841,-134.72,0.1057033346738783,latest valid filing then configured source-tag priority,high,0001130713-22-000009,0001130713-22-000009
byon,BYON,2019-12-31,2019,net_income,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,-121.841,-120.645,0.009816071765661788,latest valid filing then configured source-tag priority,medium,0001130713-22-000009,0001130713-22-000009
byon,BYON,2019-12-31,2019,net_income,NetIncomeLoss,NetIncomeLoss,-121.841,-121.841,0.0,latest valid filing then configured source-tag priority,low,0001130713-22-000009,0001130713-21-000019
byon,BYON,2019-12-31,2019,net_income,NetIncomeLoss,ProfitLoss,-121.841,-134.72,0.1057033346738783,latest valid filing then configured source-tag priority,high,0001130713-22-000009,0001130713-21-000019
byon,BYON,2019-12-31,2019,net_income,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,-121.841,-120.645,0.009816071765661788,latest valid filing then configured source-tag priority,medium,0001130713-22-000009,0001130713-21-000019
byon,BYON,2019-12-31,2019,net_income,NetIncomeLoss,NetIncomeLoss,-121.841,-121.841,0.0,latest valid filing then configured source-tag priority,low,0001130713-22-000009,0001130713-20-000014
byon,BYON,2019-12-31,2019,net_income,NetIncomeLoss,ProfitLoss,-121.841,-134.72,0.1057033346738783,latest valid filing then configured source-tag priority,high,0001130713-22-000009,0001130713-20-000014
byon,BYON,2019-12-31,2019,net_income,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,-121.841,-120.645,0.009816071765661788,latest valid filing then configured source-tag priority,medium,0001130713-22-000009,0001130713-20-000014
byon,BYON,2019-12-31,2019,revenue,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,1434.974,1459.418,0.017034454979672077,latest valid filing then configured source-tag priority,medium,0001130713-22-000009,0001130713-21-000019
byon,BYON,2019-12-31,2019,revenue,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,1434.974,1459.418,0.017034454979672077,latest valid filing then configured source-tag priority,medium,0001130713-22-000009,0001130713-20-000014
byon,BYON,2019-12-31,2019,total_equity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockholdersEquity,177.855,115.084,0.3529335694807567,latest valid filing then configured source-tag priority,high,0001130713-22-000009,0001130713-21-000019
byon,BYON,2019-12-31,2019,total_equity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,177.855,177.855,0.0,latest valid filing then configured source-tag priority,low,0001130713-22-000009,0001130713-21-000019
byon,BYON,2019-12-31,2019,total_equity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockholdersEquity,177.855,115.084,0.3529335694807567,latest valid filing then configured source-tag priority,high,0001130713-22-000009,0001130713-20-000014
byon,BYON,2019-12-31,2019,total_equity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,177.855,177.855,0.0,latest valid filing then configured source-tag priority,low,0001130713-22-000009,0001130713-20-000014
byon,BYON,2020-12-31,2020,net_income,NetIncomeLoss,ProfitLoss,56.001,46.171,0.17553257977536113,latest valid filing then configured source-tag priority,high,0001130713-23-000014,0001130713-23-000014
byon,BYON,2020-12-31,2020,net_income,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,56.001,51.507,0.08024856698987518,latest valid filing then configured source-tag priority,high,0001130713-23-000014,0001130713-23-000014
byon,BYON,2020-12-31,2020,net_income,NetIncomeLoss,NetIncomeLoss,56.001,56.001,0.0,latest valid filing then configured source-tag priority,low,0001130713-23-000014,0001130713-22-000009
byon,BYON,2020-12-31,2020,net_income,NetIncomeLoss,ProfitLoss,56.001,46.171,0.17553257977536113,latest valid filing then configured source-tag priority,high,0001130713-23-000014,0001130713-22-000009
byon,BYON,2020-12-31,2020,net_income,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,56.001,51.507,0.08024856698987518,latest valid filing then configured source-tag priority,high,0001130713-23-000014,0001130713-22-000009
byon,BYON,2020-12-31,2020,net_income,NetIncomeLoss,NetIncomeLoss,56.001,56.001,0.0,latest valid filing then configured source-tag priority,low,0001130713-23-000014,0001130713-21-000019
byon,BYON,2020-12-31,2020,net_income,NetIncomeLoss,ProfitLoss,56.001,46.171,0.17553257977536113,latest valid filing then configured source-tag priority,high,0001130713-23-000014,0001130713-21-000019
byon,BYON,2020-12-31,2020,net_income,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,56.001,51.507,0.08024856698987518,latest valid filing then configured source-tag priority,high,0001130713-23-000014,0001130713-21-000019
byon,BYON,2020-12-31,2020,revenue,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,2493.915,2493.915,0.0,latest valid filing then configured source-tag priority,low,0001130713-23-000014,0001130713-22-000009
byon,BYON,2020-12-31,2020,revenue,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,2493.915,2549.783,0.022401725800598633,latest valid filing then configured source-tag priority,medium,0001130713-23-000014,0001130713-21-000019
byon,BYON,2020-12-31,2020,total_equity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockholdersEquity,436.326,373.692,0.14354863106942978,latest valid filing then configured source-tag priority,high,0001130713-23-000014,0001130713-22-000009
byon,BYON,2020-12-31,2020,total_equity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,436.326,436.326,0.0,latest valid filing then configured source-tag priority,low,0001130713-23-000014,0001130713-22-000009
byon,BYON,2020-12-31,2020,total_equity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockholdersEquity,436.326,373.692,0.14354863106942978,latest valid filing then configured source-tag priority,high,0001130713-23-000014,0001130713-21-000019
byon,BYON,2020-12-31,2020,total_equity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,436.326,436.326,0.0,latest valid filing then configured source-tag priority,low,0001130713-23-000014,0001130713-21-000019
byon,BYON,2021-12-31,2021,net_income,NetIncomeLoss,ProfitLoss,389.372,389.037,0.0008603597587911724,latest valid filing then configured source-tag priority,low,0001130713-24-000013,0001130713-24-000013
byon,BYON,2021-12-31,2021,net_income,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,389.372,351.364,0.09761359317054137,latest valid filing then configured source-tag priority,high,0001130713-24-000013,0001130713-24-000013
byon,BYON,2021-12-31,2021,net_income,NetIncomeLoss,NetIncomeLoss,389.372,389.372,0.0,latest valid filing then configured source-tag priority,low,0001130713-24-000013,0001130713-23-000014
byon,BYON,2021-12-31,2021,net_income,NetIncomeLoss,ProfitLoss,389.372,389.037,0.0008603597587911724,latest valid filing then configured source-tag priority,low,0001130713-24-000013,0001130713-23-000014
byon,BYON,2021-12-31,2021,net_income,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,389.372,351.364,0.09761359317054137,latest valid filing then configured source-tag priority,high,0001130713-24-000013,0001130713-23-000014
byon,BYON,2021-12-31,2021,net_income,NetIncomeLoss,NetIncomeLoss,389.372,389.372,0.0,latest valid filing then configured source-tag priority,low,0001130713-24-000013,0001130713-22-000009
byon,BYON,2021-12-31,2021,net_income,NetIncomeLoss,ProfitLoss,389.372,389.037,0.0008603597587911724,latest valid filing then configured source-tag priority,low,0001130713-24-000013,0001130713-22-000009
byon,BYON,2021-12-31,2021,net_income,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,389.372,351.364,0.09761359317054137,latest valid filing then configured source-tag priority,high,0001130713-24-000013,0001130713-22-000009
byon,BYON,2022-12-31,2022,net_income,NetIncomeLoss,ProfitLoss,-35.236,-35.236,0.0,latest valid filing then configured source-tag priority,low,0001130713-25-000024,0001130713-25-000024
byon,BYON,2022-12-31,2022,net_income,NetIncomeLoss,NetIncomeLoss,-35.236,-35.236,0.0,latest valid filing then configured source-tag priority,low,0001130713-25-000024,0001130713-24-000013
byon,BYON,2022-12-31,2022,net_income,NetIncomeLoss,ProfitLoss,-35.236,-35.236,0.0,latest valid filing then configured source-tag priority,low,0001130713-25-000024,0001130713-24-000013
byon,BYON,2022-12-31,2022,net_income,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,-35.236,-36.933,0.0481609717334545,latest valid filing then configured source-tag priority,medium,0001130713-25-000024,0001130713-24-000013
byon,BYON,2022-12-31,2022,net_income,NetIncomeLoss,NetIncomeLoss,-35.236,-35.236,0.0,latest valid filing then configured source-tag priority,low,0001130713-25-000024,0001130713-23-000014
byon,BYON,2022-12-31,2022,net_income,NetIncomeLoss,ProfitLoss,-35.236,-35.236,0.0,latest valid filing then configured source-tag priority,low,0001130713-25-000024,0001130713-23-000014
byon,BYON,2022-12-31,2022,net_income,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,-35.236,-36.933,0.0481609717334545,latest valid filing then configured source-tag priority,medium,0001130713-25-000024,0001130713-23-000014
carg,CARG,2017-12-31,2017,net_income,NetIncomeLoss,ProfitLoss,13.199,13.199,0.0,latest valid filing then configured source-tag priority,low,0001564590-20-004805,0001564590-20-004805
carg,CARG,2017-12-31,2017,net_income,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,13.199,7.101,0.46200469732555494,latest valid filing then configured source-tag priority,high,0001564590-20-004805,0001564590-20-004805
carg,CARG,2017-12-31,2017,net_income,NetIncomeLoss,NetIncomeLoss,13.199,13.199,0.0,latest valid filing then configured source-tag priority,low,0001564590-20-004805,0001564590-19-005473
carg,CARG,2017-12-31,2017,net_income,NetIncomeLoss,ProfitLoss,13.199,13.199,0.0,latest valid filing then configured source-tag priority,low,0001564590-20-004805,0001564590-19-005473
carg,CARG,2017-12-31,2017,net_income,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,13.199,7.101,0.46200469732555494,latest valid filing then configured source-tag priority,high,0001564590-20-004805,0001564590-19-005473
carg,CARG,2017-12-31,2017,net_income,NetIncomeLoss,NetIncomeLoss,13.199,13.199,0.0,latest valid filing then configured source-tag priority,low,0001564590-20-004805,0001564590-18-004127
carg,CARG,2017-12-31,2017,net_income,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,13.199,7.101,0.46200469732555494,latest valid filing then configured source-tag priority,high,0001564590-20-004805,0001564590-18-004127
carg,CARG,2021-12-31,2021,net_income,NetIncomeLoss,ProfitLoss,109.244,110.373,0.010334663688623676,latest valid filing then configured source-tag priority,medium,0000950170-24-020157,0000950170-24-020157
carg,CARG,2021-12-31,2021,net_income,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,109.244,-0.154,1.0014096884039398,latest valid filing then configured source-tag priority,high,0000950170-24-020157,0000950170-24-020157
