ticker,fiscal_year,case_role,company_id,period_end_date,revenue,operating_income,net_income,total_assets,total_liabilities,total_equity,current_assets,current_liabilities,cash_and_equivalents,inventory,total_debt,operating_cash_flow,capital_expenditure,free_cash_flow,row_data_as_of,prior_fiscal_year,prior_total_assets,prior_total_equity,prior_revenue,company_name,formal_peer_group,status_group,formal_sample_status,comparability_note,data_as_of,average_assets,average_equity,net_margin,operating_margin,current_ratio,quick_ratio,cash_ratio,liabilities_to_assets,total_debt_to_assets,operating_cash_flow_margin,free_cash_flow_margin,capital_expenditure_intensity,free_cash_flow_conversion,revenue_growth,average_balance_available_flag,asset_turnover,equity_multiplier,roe,roa,positive_average_equity_flag,dupont_roe,dupont_valid_flag,roe_valid_flag,near_zero_average_equity_flag,dupont_identity_gap,dupont_validity_reason,metric_flag_count,unresolved_conflict_count,quality_warning_count,quality_warnings,source_selection_method,source_selection_note,peer_company_count,valid_peer_roe_count,peer_median_roe,peer_q25_roe,peer_q75_roe,peer_median_net_margin,peer_median_asset_turnover,peer_median_equity_multiplier,peer_median_current_ratio,peer_median_total_debt_to_assets,peer_median_free_cash_flow_margin,roe_vs_peer_median,net_margin_vs_peer_median,asset_turnover_vs_peer_median,equity_multiplier_vs_peer_median,fcf_margin_vs_peer_median,roe_peer_percentile
ABNB,2022,similar_roe_high_margin,abnb,2022-12-31,8399.0,1802.0,1893.0,16038.0,10478.0,5560.0,14861.0,7978.0,7378.0,,,3430.0,25.0,3405.0,2026-08-05,2021.0,13708.0,4775.0,5992.0,Airbnb Inc,marketplace_platform,active,formal_included,Marketplace revenue recognition and asset intensity differ; interpret margin and turnover together.,2026-08-05,14873.0,5167.5,0.2253839742826527,0.2145493511132277,1.8627475557783904,,0.9247931812484332,0.6533233570270607,,0.4083819502321705,0.4054054054054054,0.002976544826765,0.9927113702623906,0.401702269692924,True,0.5647145834734082,2.8781809385582973,0.3663280116110304,0.1272776171586095,True,0.3663280116110304,True,True,False,0.0,valid,0,0,0,,latest_valid_restated_sec_companyfacts,"Latest valid filing through 2026-08-05; filing date, source priority, and accession provide deterministic selection.",7,7,0.0439798070164227,-0.2045076382090476,0.2315156541571635,0.0263138576733203,0.6435549868976294,3.179693255642623,1.8627475557783904,0.4254676258992805,0.238107482643353,0.3223482045946076,0.1990701166093323,-0.0788404034242211,-0.3015123170843257,0.1672979227620523,0.8333333333333334
LOVE,2022,similar_roe_high_turnover,love,2022-01-30,498.239,40.578,47.488,369.084,211.27,157.814,221.731,114.696,92.392,,,32.648,14.615,18.033,2026-08-05,2021.0,171.019,107.946,320.738,Lovesac Company,dtc_brand,active,formal_included,"Channel mix, fiscal calendars, and inventory intensity differ within this peer group.",2026-08-05,270.05150000000003,132.88,0.0953116877643058,0.0814428416884266,1.933206040315268,,0.8055381181558205,0.5724171191381908,,0.0655267853379603,0.0361934734133618,0.0293333119245984,0.5523462386669934,0.5534143132400899,True,1.8449777172131976,2.0322960565924144,0.35737507525587,0.1758479401151261,True,0.3573750752558699,True,True,False,5.551115123125783e-17,valid,9,0,9,resolved_latest_restated: Later valid filing supplies the current comparative value,latest_valid_restated_sec_companyfacts,"Latest valid filing through 2026-08-05; filing date, source priority, and accession provide deterministic selection.",7,6,-0.1037080977978957,-0.4675290756114439,0.1455402683372251,0.0173154481134864,1.8449777172131976,1.77130656890503,2.3831750339213027,,-0.0157574834566761,0.4610831730537656,0.0779962396508194,0.0,0.2609894876873844,0.051950956870038,1.0
BKNG,2023,near_zero_equity_warning,bkng,2023-12-31,21365.0,5835.0,4289.0,24342.0,27086.0,-2744.0,17034.0,13330.0,12107.0,,,7344.0,345.0,6999.0,2026-08-05,2022.0,25361.0,2782.0,17090.0,Booking Holdings Inc,marketplace_platform,active,formal_included,Marketplace revenue recognition and asset intensity differ; interpret margin and turnover together.,2026-08-05,24851.5,19.0,0.2007488883688275,0.2731102270067868,1.2778694673668418,,0.908252063015754,1.112726973954482,,0.3437397612918324,0.327591855838989,0.0161479054528434,0.9530228758169934,0.2501462843768285,True,0.8597066575458222,1307.9736842105262,225.73684210526315,0.172585155825604,True,225.73684210526312,True,True,True,2.8421709430404014e-14,valid,0,0,1,Near-zero average equity; ROE is mechanically unstable,latest_valid_restated_sec_companyfacts,"Latest valid filing through 2026-08-05; filing date, source priority, and accession provide deterministic selection.",7,6,0.3747126180702713,0.2510901737899031,0.643509768546185,0.171858562965134,0.627294443819946,3.175044344987013,1.641348973607038,0.3572155411655874,0.1965225491632846,225.36212948719287,0.0288903254036934,0.2324122137258761,1304.7986398655391,0.1310693066757043,1.0
