company_id,ticker,company_name,formal_peer_group,fiscal_year,prior_fiscal_year,net_margin,asset_turnover,equity_multiplier,roe,average_equity,dupont_valid_flag,observed_prior_fiscal_year,prior_net_margin,prior_asset_turnover,prior_equity_multiplier,prior_roe,prior_average_equity,prior_dupont_valid_flag,transition_valid_flag,roe_change,contribution_margin,contribution_turnover,contribution_multiplier,contribution_sum,dominant_driver,h1_driver_group,leverage_contribution_share,shapley_reconciliation_gap
abnb,ABNB,Airbnb Inc,marketplace_platform,2021,2020,-0.05874499332443257,0.49521686378713875,3.1526184210526313,-0.09171443460135487,3838.0,True,2020,-1.3573120189461219,,,-4.381270903010034,1046.5,False,False,4.289556468408679,,,,,not_available,not_available,,
abnb,ABNB,Airbnb Inc,marketplace_platform,2022,2021,0.2253839742826527,0.5647145834734082,2.8781809385582973,0.36632801161103046,5167.5,True,2021,-0.05874499332443257,0.49521686378713875,3.1526184210526313,-0.09171443460135487,3838.0,True,True,0.4580424462123853,0.45360311011725707,0.017009121762482114,-0.012569785667353858,0.4580424462123853,margin,operating_driven,0.0,0.0
abnb,ABNB,Airbnb Inc,marketplace_platform,2023,2022,0.483210648381567,0.5406864215031486,2.6727140255009108,0.6982877959927141,6862.5,True,2022,0.2253839742826527,0.5647145834734082,2.8781809385582973,0.36632801161103046,5167.5,True,True,0.3319597843816836,0.39560992784504606,-0.02352162452141399,-0.04012851894194856,0.3319597843816835,margin,operating_driven,0.0,1.1102230246251565e-16
abnb,ABNB,Airbnb Inc,marketplace_platform,2024,2023,0.23851558277787785,0.5336986828189597,2.509742414188333,0.3194787959220607,8288.5,True,2023,0.483210648381567,0.5406864215031486,2.6727140255009108,0.6982877959927141,6862.5,True,True,-0.3788090000706534,-0.3406359391097199,-0.006557307148597802,-0.03161575381233568,-0.3788090000706534,margin,mixed_or_ambiguous,,0.0
amzn,AMZN,Amazon.com Inc,inventory_led_ecommerce,2019,2018,0.04130870306072251,1.4463773795037844,3.6729445407114922,0.21945099376000152,52804.5,True,2018,0.04325273630559026,1.5844916620741738,4.125263128350501,0.28271913329029724,35629.0,True,True,-0.06326813953029573,-0.011497095275154494,-0.022779215295255922,-0.02899182895988529,-0.06326813953029571,multiplier,mixed_or_ambiguous,,-1.3877787807814457e-17
amzn,AMZN,Amazon.com Inc,inventory_led_ecommerce,2020,2019,0.05525249699531684,1.4130073950988484,3.5149166366489992,0.2744172284258735,77732.0,True,2019,0.04130870306072251,1.4463773795037844,3.6729445407114922,0.21945099376000152,52804.5,True,True,0.054966234665872,0.07165234157108882,-0.005784136177493512,-0.010901970727723271,0.05496623466587204,margin,operating_driven,0.0,-4.163336342344337e-17
amzn,AMZN,Amazon.com Inc,inventory_led_ecommerce,2021,2020,0.07101412875514557,1.2668036411484285,3.2020168444500086,0.2880564992726064,115824.5,True,2020,0.05525249699531684,1.4130073950988484,3.5149166366489992,0.2744172284258735,77732.0,True,True,0.013639270846732887,0.07098787355016824,-0.03093965993758597,-0.026408942765849434,0.013639270846732835,margin,operating_driven,0.0,5.204170427930421e-17
amzn,AMZN,Amazon.com Inc,inventory_led_ecommerce,2022,2021,-0.005295895000418302,1.163879151834642,3.106793111211166,-0.01914959477712742,142144.0,True,2021,0.07101412875514557,1.2668036411484285,3.2020168444500086,0.2880564992726064,115824.5,True,True,-0.3072060940497338,-0.2926104570952526,-0.010730547598976584,-0.003865089355504646,-0.3072060940497338,margin,mixed_or_ambiguous,,0.0
amzn,AMZN,Amazon.com Inc,inventory_led_ecommerce,2023,2022,0.05293283575597832,1.1605616796681368,2.8470185503480705,0.1748975333268184,173959.0,True,2022,-0.005295895000418302,1.163879151834642,3.106793111211166,-0.01914959477712742,142144.0,True,True,0.1940471281039458,0.20146515165505832,-0.00023104473453329136,-0.007186978816579251,0.19404712810394578,margin,operating_driven,0.0,2.7755575615628914e-17
amzn,AMZN,Amazon.com Inc,inventory_led_ecommerce,2024,2023,0.09287117197186653,1.1068490251121668,2.3629390482632804,0.24289682173641217,243922.5,True,2023,0.05293283575597832,1.1605616796681368,2.8470185503480705,0.1748975333268184,173959.0,True,True,0.06799928840959377,0.11803556302251521,-0.010113935134629104,-0.03992233947829228,0.06799928840959382,margin,operating_driven,0.0,-5.551115123125783e-17
