conflict_id,company_id,ticker,fiscal_year,canonical_field,winning_accession,winning_filing_date,winning_source_tag,winning_value,discarded_accession,discarded_filing_date,discarded_source_tag,discarded_value,relative_difference,conflict_severity,resolution_rule,resolution_status,review_note,created_at
B1-00038,bkng,BKNG,2017,net_income,0001075531-20-000011,2020-02-26,NetIncomeLossAvailableToCommonStockholdersBasic,2341.0,0001075531-18-000015,2018-02-27,NetIncomeLossAvailableToCommonStockholdersBasic,2340.765,0.00010038445108933248,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00039,bkng,BKNG,2017,operating_income,0001075531-20-000011,2020-02-26,OperatingIncomeLoss,4538.0,0001075531-19-000009,2019-02-27,OperatingIncomeLoss,4538.0,0.0,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00040,bkng,BKNG,2017,operating_income,0001075531-20-000011,2020-02-26,OperatingIncomeLoss,4538.0,0001075531-18-000015,2018-02-27,OperatingIncomeLoss,4537.992,1.7628911414303273e-06,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00041,bkng,BKNG,2017,revenue,0001075531-20-000011,2020-02-26,Revenues,12681.0,0001075531-19-000009,2019-02-27,Revenues,12681.0,0.0,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00042,bkng,BKNG,2017,revenue,0001075531-20-000011,2020-02-26,Revenues,12681.0,0001075531-18-000015,2018-02-27,SalesRevenueNet,12681.082,6.466367005783037e-06,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00043,bkng,BKNG,2017,total_assets,0001075531-19-000009,2019-02-27,Assets,25451.0,0001075531-18-000015,2018-02-27,Assets,25451.263,1.0333582177478703e-05,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00044,bkng,BKNG,2017,total_equity,0001075531-21-000019,2021-02-24,StockholdersEquity,11261.0,0001075531-20-000011,2020-02-26,StockholdersEquity,11261.0,0.0,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00045,bkng,BKNG,2017,total_equity,0001075531-21-000019,2021-02-24,StockholdersEquity,11261.0,0001075531-19-000009,2019-02-27,StockholdersEquity,11261.0,0.0,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00046,bkng,BKNG,2017,total_equity,0001075531-21-000019,2021-02-24,StockholdersEquity,11261.0,0001075531-18-000015,2018-02-27,StockholdersEquity,11260.598,3.5698428203538196e-05,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00047,bkng,BKNG,2017,total_liabilities,0001075531-19-000009,2019-02-27,Liabilities,14187.0,0001075531-18-000015,2018-02-27,Liabilities,14187.702,4.948192006761937e-05,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00048,byon,BYON,2017,net_income,0001130713-20-000014,2020-03-13,NetIncomeLoss,-109.878,0001130713-20-000014,2020-03-13,ProfitLoss,-111.922,0.01860244998998887,medium,latest valid filing then configured source-tag priority,resolved_tag_priority,Configured canonical tag priority selects the concept-aligned value,2026-08-05T00:00:00+00:00
B1-00049,byon,BYON,2017,net_income,0001130713-20-000014,2020-03-13,NetIncomeLoss,-109.878,0001130713-20-000014,2020-03-13,NetIncomeLossAvailableToCommonStockholdersBasic,-107.134,0.024973152041354956,medium,latest valid filing then configured source-tag priority,resolved_tag_priority,Configured canonical tag priority selects the concept-aligned value,2026-08-05T00:00:00+00:00
