conflict_id,company_id,ticker,fiscal_year,canonical_field,winning_accession,winning_filing_date,winning_source_tag,winning_value,discarded_accession,discarded_filing_date,discarded_source_tag,discarded_value,relative_difference,conflict_severity,resolution_rule,resolution_status,review_note,created_at
B1-00019,abnb,ABNB,2021,operating_cash_flow,0001559720-24-000006,2024-02-16,NetCashProvidedByUsedInOperatingActivities,2313.0,0001559720-22-000006,2022-02-25,NetCashProvidedByUsedInOperatingActivities,2189.694,0.053309987029831404,high,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00020,abnb,ABNB,2021,operating_income,0001559720-24-000006,2024-02-16,OperatingIncomeLoss,429.0,0001559720-23-000003,2023-02-17,OperatingIncomeLoss,429.0,0.0,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00021,abnb,ABNB,2021,operating_income,0001559720-24-000006,2024-02-16,OperatingIncomeLoss,429.0,0001559720-22-000006,2022-02-25,OperatingIncomeLoss,429.317,0.0007389277389277559,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00022,abnb,ABNB,2021,revenue,0001559720-24-000006,2024-02-16,RevenueFromContractWithCustomerExcludingAssessedTax,5992.0,0001559720-23-000003,2023-02-17,RevenueFromContractWithCustomerExcludingAssessedTax,5992.0,0.0,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00023,abnb,ABNB,2021,revenue,0001559720-24-000006,2024-02-16,RevenueFromContractWithCustomerExcludingAssessedTax,5992.0,0001559720-22-000006,2022-02-25,RevenueFromContractWithCustomerExcludingAssessedTax,5991.76,4.005340453934942e-05,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00024,abnb,ABNB,2021,total_assets,0001559720-23-000003,2023-02-17,Assets,13708.0,0001559720-22-000006,2022-02-25,Assets,13708.474,3.4578348409699454e-05,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00025,abnb,ABNB,2021,total_equity,0001559720-25-000010,2025-02-13,StockholdersEquity,4775.0,0001559720-24-000006,2024-02-16,StockholdersEquity,4775.0,0.0,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00026,abnb,ABNB,2021,total_equity,0001559720-25-000010,2025-02-13,StockholdersEquity,4775.0,0001559720-23-000003,2023-02-17,StockholdersEquity,4775.0,0.0,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00027,abnb,ABNB,2021,total_equity,0001559720-25-000010,2025-02-13,StockholdersEquity,4775.0,0001559720-22-000006,2022-02-25,StockholdersEquity,4775.713,0.00014931937172769384,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00028,abnb,ABNB,2021,total_liabilities,0001559720-23-000003,2023-02-17,Liabilities,8933.0,0001559720-22-000006,2022-02-25,Liabilities,8932.761,2.675472965404433e-05,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00029,amzn,AMZN,2017,operating_cash_flow,0001018724-20-000004,2020-01-31,NetCashProvidedByUsedInOperatingActivities,18365.0,0001018724-19-000004,2019-02-01,NetCashProvidedByUsedInOperatingActivities,18365.0,0.0,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00030,amzn,AMZN,2017,operating_cash_flow,0001018724-20-000004,2020-01-31,NetCashProvidedByUsedInOperatingActivities,18365.0,0001018724-18-000005,2018-02-02,NetCashProvidedByUsedInOperatingActivities,18434.0,0.0037571467465287232,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00031,bkng,BKNG,2017,capital_expenditure,0001075531-20-000011,2020-02-26,PaymentsToAcquirePropertyPlantAndEquipment,288.0,0001075531-19-000009,2019-02-27,PaymentsToAcquirePropertyPlantAndEquipment,288.0,0.0,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00032,bkng,BKNG,2017,capital_expenditure,0001075531-20-000011,2020-02-26,PaymentsToAcquirePropertyPlantAndEquipment,288.0,0001075531-18-000015,2018-02-27,PaymentsToAcquirePropertyPlantAndEquipment,287.805,0.0006770833333333096,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00033,bkng,BKNG,2017,cash_and_equivalents,0001075531-20-000011,2020-02-26,CashAndCashEquivalentsAtCarryingValue,2542.0,0001075531-19-000009,2019-02-27,CashAndCashEquivalentsAtCarryingValue,2542.0,0.0,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00034,bkng,BKNG,2017,cash_and_equivalents,0001075531-20-000011,2020-02-26,CashAndCashEquivalentsAtCarryingValue,2542.0,0001075531-18-000015,2018-02-27,CashAndCashEquivalentsAtCarryingValue,2541.604,0.00015578284815113513,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00035,bkng,BKNG,2017,current_assets,0001075531-19-000009,2019-02-27,AssetsCurrent,9035.0,0001075531-18-000015,2018-02-27,AssetsCurrent,9034.805,2.1582733812917428e-05,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00036,bkng,BKNG,2017,current_liabilities,0001075531-19-000009,2019-02-27,LiabilitiesCurrent,3498.0,0001075531-18-000015,2018-02-27,LiabilitiesCurrent,3497.868,3.7735849056621455e-05,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00037,bkng,BKNG,2017,net_income,0001075531-20-000011,2020-02-26,NetIncomeLossAvailableToCommonStockholdersBasic,2341.0,0001075531-19-000009,2019-02-27,NetIncomeLossAvailableToCommonStockholdersBasic,2341.0,0.0,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
