formal_peer_group,h1_driver_group,transitions,unique_companies
dtc_brand,operating_driven,3,2
inventory_led_ecommerce,operating_driven,3,2
marketplace_platform,leverage_driven,4,3
marketplace_platform,operating_driven,11,6
