company_id,ticker,eligible_transitions,leverage_transitions,operating_transitions,transition_share
bkng,BKNG,3,1,2,0.14285714285714285
ebay,EBAY,3,1,2,0.14285714285714285
etsy,ETSY,3,2,1,0.14285714285714285
expe,EXPE,3,0,3,0.14285714285714285
amzn,AMZN,2,0,2,0.09523809523809523
cars,CARS,2,0,2,0.09523809523809523
rvlv,RVLV,2,0,2,0.09523809523809523
abnb,ABNB,1,0,1,0.047619047619047616
byon,BYON,1,0,1,0.047619047619047616
love,LOVE,1,0,1,0.047619047619047616
