ticker,company_name,analysis_peer_group,fiscal_year,prior_fiscal_year,net_margin,asset_turnover,equity_multiplier,roe,average_equity,dupont_valid_flag,observed_prior_fiscal_year,prior_net_margin,prior_asset_turnover,prior_equity_multiplier,prior_roe,prior_average_equity,prior_dupont_valid_flag,transition_valid_flag,roe_change,contribution_margin,contribution_turnover,contribution_multiplier,contribution_sum,dominant_change_driver,h1_driver_group,leverage_contribution_share,shapley_reconciliation_gap,next_average_equity,next_year_roe,next_year_peer_relative_roe,next_fiscal_year,turnaround_from_loss,h1_eligible_flag,h1_sample_status
AMZN,Amazon.com Inc,Inventory-led E-commerce,2022,2021,-0.005295895000418302,1.163879151834642,3.106793111211166,-0.01914959477712742,142144.0,True,2021,0.07101412875514557,,,,,False,False,,,,,,not_available,not_improvement,,,173959.0,0.1748975333268184,0.028419248921743134,2023,False,False,invalid_dupont_transition
AMZN,Amazon.com Inc,Inventory-led E-commerce,2023,2022,0.05293283575597832,1.1605616796681368,2.8470185503480705,0.1748975333268184,173959.0,True,2022,-0.005295895000418302,1.163879151834642,3.106793111211166,-0.01914959477712742,142144.0,True,True,0.1940471281039458,0.20146515165505832,-0.00023104473453329136,-0.007186978816579251,0.19404712810394578,margin,operating_driven,0.0,2.7755575615628914e-17,,,,,True,False,turnaround_from_loss
BKNG,Booking Holdings Inc,Marketplace / Platform,2022,2021,0.1789350497366881,0.6975225500999959,5.468973214285715,0.6825892857142857,4480.0,True,2021,0.10631502098923161,,,,,False,False,,,,,,not_available,not_improvement,,,19.0,225.73684210526315,225.25766641905656,2023,False,False,invalid_dupont_transition
BKNG,Booking Holdings Inc,Marketplace / Platform,2023,2022,0.2007488883688275,0.8597066575458222,1307.9736842105262,225.73684210526315,19.0,True,2022,0.1789350497366881,0.6975225500999959,5.468973214285715,0.6825892857142857,4480.0,True,True,225.05425281954888,11.538137948291766,20.604029430594075,192.91208544066296,225.05425281954882,multiplier,leverage_driven,0.8571803599523274,5.684341886080802e-14,,,,,False,False,next_year_not_observable
CHWY,Chewy Inc,Inventory-led E-commerce,2022,2021,0.004931218499851764,4.393739691656649,26.319964115105943,0.5702612511714018,87.502,True,2021,-0.008386705320724263,,,,,False,False,,,,,,not_available,not_improvement,,,335.25600000000003,0.11805903548333213,-0.028419248921743134,2023,False,False,invalid_dupont_transition
CHWY,Chewy Inc,Inventory-led E-commerce,2023,2022,0.003550501806647458,3.9069096175019085,8.510912556374828,0.11805903548333213,335.25600000000003,True,2022,0.004931218499851764,4.393739691656649,26.319964115105943,0.5702612511714018,87.502,True,True,-0.4522022156880697,-0.10079538598484794,-0.036953101153827266,-0.3144537285493946,-0.4522022156880698,multiplier,not_improvement,,1.1102230246251565e-16,,,,,False,False,no_roe_improvement
DASH,DoorDash Inc,Marketplace / Platform,2022,2021,-0.20735227100106335,0.7932280997710568,1.4532878031696,-0.2390333596007355,5710.5,True,2021,-0.09574468085106383,,,,,False,False,,,,,,not_available,not_improvement,,,6780.0,-0.08230088495575222,-0.5614765711623502,2023,False,False,invalid_dupont_transition
DASH,DoorDash Inc,Marketplace / Platform,2023,2022,-0.06462072958888246,0.837211557106845,1.5212389380530973,-0.08230088495575222,6780.0,True,2022,-0.20735227100106335,0.7932280997710568,1.4532878031696,-0.2390333596007355,5710.5,True,True,0.15673247464498327,0.1730899194340433,-0.008860006090944273,-0.007497438698115742,0.15673247464498327,margin,operating_driven,0.0,0.0,,,,,True,False,turnaround_from_loss
EBAY,eBay Inc,Marketplace / Platform,2022,2021,-0.12955589586523736,0.4126295391355632,3.179693255642623,-0.16998191681735986,7465.5,True,2021,1.3059500959692898,,,,,False,False,,,,,,not_available,not_improvement,,,5774.5,0.47917568620659795,0.0,2023,False,False,invalid_dupont_transition
EBAY,eBay Inc,Marketplace / Platform,2023,2022,0.27363528481012656,0.47619496114904636,3.6773746644731147,0.47917568620659795,5774.5,True,2022,-0.12955589586523736,0.4126295391355632,3.179693255642623,-0.16998191681735986,7465.5,True,True,0.6491576030239579,0.6153982666717642,0.01676298163986844,0.016996354712325048,0.6491576030239578,margin,operating_driven,0.026182169989462146,1.1102230246251565e-16,,,,,True,False,turnaround_from_loss
ETSY,Etsy Inc,Marketplace / Platform,2022,2021,-0.2705603927499629,0.7936298956047608,79.49806380232341,-17.07020714241809,40.672500000000014,True,2021,0.21188615069936464,,,,,False,False,,,,,,not_available,not_improvement,,,-545.4945,,,2023,False,False,invalid_dupont_transition
ETSY,Etsy Inc,Marketplace / Platform,2023,2022,0.11190895572186785,1.0331543291893164,,,-545.4945,False,2022,-0.2705603927499629,0.7936298956047608,79.49806380232341,-17.07020714241809,40.672500000000014,True,False,,,,,,not_available,not_improvement,,,,,,,False,False,invalid_dupont_transition
