formal_peer_group,fiscal_year,company_count,valid_roe_company_count,peer_median_roe,peer_q25_roe,peer_q75_roe,valid_net_margin_company_count,peer_median_net_margin,peer_q25_net_margin,peer_q75_net_margin,valid_asset_turnover_company_count,peer_median_asset_turnover,peer_q25_asset_turnover,peer_q75_asset_turnover,valid_equity_multiplier_company_count,peer_median_equity_multiplier,peer_q25_equity_multiplier,peer_q75_equity_multiplier,valid_current_ratio_company_count,peer_median_current_ratio,valid_total_debt_to_assets_company_count,peer_median_total_debt_to_assets,valid_fcf_margin_company_count,peer_median_free_cash_flow_margin
dtc_brand,2018,4,2,0.3592097625690084,0.29872419426585634,0.4196953308721605,4,0.04100583669321502,0.013946154346331804,0.0494339824749099,2,3.2860778900732006,3.2689630701698316,3.30319270997657,1,1.9600035019486222,1.9600035019486222,1.9600035019486222,4,1.7325712516227456,0,,4,0.0463410252955008
dtc_brand,2019,5,3,0.1037335178434814,-0.013600063431292997,0.22124020964402466,5,0.023378538221732578,-0.04041658777239968,0.04819083440888579,4,2.768020829541444,2.5625329348169834,2.917796621419795,3,1.5436566198640926,1.4868827595876817,1.708195140905254,5,2.000343878954608,0,,5,0.030280344684632827
dtc_brand,2020,7,5,-0.12568018255222044,-0.16841627176655538,0.34332039609706555,7,-0.03920997024652794,-0.052182815747201974,0.08638800394682326,5,2.1583779704930097,2.023399952813894,2.311765998683833,4,1.6823283242459501,1.5611534894175652,2.1476612697505084,7,2.795389795389795,0,,7,0.07405971601447292
dtc_brand,2021,7,6,-0.03813811265461758,-0.09652237173934712,0.10636212693107258,7,-0.004224136207928774,-0.034884221185344726,0.05814096286823464,7,2.1621613094905507,1.480199861409962,2.4044044721845683,6,1.6817704559143634,1.503325212296898,1.939542984452785,7,2.5459661955827,0,,7,0.06744298230852938
dtc_brand,2022,7,6,-0.10370809779789572,-0.4675290756114439,0.14554026833722516,7,0.017315448113486422,-0.2215140560124661,0.04758776507355757,7,1.8449777172131978,1.1363796453063288,2.16787779988269,6,1.77130656890503,1.3793795041946924,2.0295455906255486,7,2.3831750339213027,0,,7,-0.01575748345667614
dtc_brand,2023,7,6,-0.2686611068064823,-0.6063267087989517,0.07174418682158036,7,-0.008099150084610079,-0.27928142993799115,0.033507062816797405,7,1.6746062156845094,1.0403662816685872,1.8903405768800066,6,1.885034839637243,1.5461932916053578,2.3686846750164117,7,2.2880632854304555,0,,7,-0.03501172461512216
dtc_brand,2024,7,5,0.007215026353414273,-0.593278874225247,0.11622786721547042,7,-0.012087052456880357,-0.1503504189516456,0.01948511088993284,7,1.5722053960121507,1.1102501686266273,1.8151772704448768,5,1.7475941940114417,1.5486623932922199,2.169575488930563,7,2.016322539395991,0,,7,0.010648479066415048
inventory_led_ecommerce,2018,6,4,-0.05164283840584167,-0.43341898297891146,0.15749345616013039,6,-0.05136341761597866,-0.07546071758419882,0.025347128782517298,5,2.3961853996262596,1.5844916620741738,4.070442016727856,4,2.936742028750036,2.573003266641035,3.4479123659974142,6,1.078795468865227,1,0.42920627680968865,6,-0.013631814191336869
inventory_led_ecommerce,2019,7,4,-0.3171596363733877,-0.568479417099476,-0.009182195380224342,7,-0.05207001897975609,-0.09641485502775032,-0.03153550470612464,6,2.92493595204727,1.730947164908959,3.6426432938481517,4,3.4818842553744727,3.0336315005013166,4.573778214602831,7,1.0970482394205803,0,,7,-0.05138599758956941
inventory_led_ecommerce,2020,7,5,0.18235992321481775,-0.3440643863179074,0.2744172284258735,7,0.013078826440438318,-0.021774316476550662,0.03885377630033012,7,2.194100316764152,1.3000485421641317,3.878645756280993,5,3.5149166366489992,3.5016349024110216,3.9772753623188404,7,1.4062788550323175,0,,7,0.06714948816776493
