company_id,ticker,company_name,peer_group,fiscal_year,revenue,net_income,total_assets,total_equity,prior_total_assets,prior_total_equity,average_assets,average_equity,net_margin,asset_turnover,equity_multiplier,roe,dupont_valid,peer_median_roe,peer_valid_count,roe_vs_peer_median,roe_peer_percentile
amzn,AMZN,Amazon.com Inc,hybrid,2024,637959.0,59248.0,624894.0,285970.0,527854.0,201875.0,576374.0,243922.5,0.09287117197186653,1.1068490251121668,2.3629390482632804,0.24289682173641217,1,-0.37445665251995636,2.0,0.6173534742563686,1.0
aprn,APRN,Blue Apron Holdings Inc,inventory_led_ecommerce,2017,881.191,-210.143,517.709,223.85,,,,,-0.2384761079039618,,,,0,,,,
aprn,APRN,Blue Apron Holdings Inc,inventory_led_ecommerce,2018,667.6,-122.149,354.899,119.302,517.709,223.85,436.304,171.576,-0.1829673457159976,1.5301257838571274,2.5429197556767846,-0.7119235790553458,1,-0.13470214617836074,4.0,-0.577221432876985,0.0
aprn,APRN,Blue Apron Holdings Inc,inventory_led_ecommerce,2019,454.868,-61.081,266.065,67.999,354.899,119.302,310.48199999999997,93.6505,-0.13428291284504518,1.465038230879729,3.31532666670226,-0.6522228925633072,1,-0.4163770536023661,4.0,-0.23584583896094113,0.0
aprn,APRN,Blue Apron Holdings Inc,inventory_led_ecommerce,2020,460.608,-46.154,215.335,63.975,266.065,67.999,240.7,65.987,-0.10020234125329999,1.9136186123805567,3.64768818100535,-0.6994407989452469,1,-0.3440643863179074,5.0,-0.3553764126273395,0.0
aprn,APRN,Blue Apron Holdings Inc,inventory_led_ecommerce,2021,470.377,-88.381,231.706,80.053,215.335,63.975,223.5205,72.014,-0.18789396590394514,2.104402057082013,3.1038478629155444,-1.2272752520343266,1,-0.3462742776908513,5.0,-0.8810009743434754,0.0
aprn,APRN,Blue Apron Holdings Inc,inventory_led_ecommerce,2022,458.467,-109.733,171.142,33.721,231.706,80.053,201.42399999999998,56.887,-0.23934765206656097,2.276128961792041,3.5407738147555676,-1.9289644382723645,1,-1.0627646318876596,4.0,-0.866199806384705,0.0
aprn,APRN,Blue Apron Holdings Inc,inventory_led_ecommerce,2023,,,,,171.142,33.721,,,,,,,0,-0.2859960552268245,3.0,,
aprn,APRN,Blue Apron Holdings Inc,inventory_led_ecommerce,2024,,,,,,,,,,,,,0,0.4794520547945205,3.0,,
bark,BARK,BARK Inc,dtc_brand,2017,,,,,,,,,,,,,0,,,,
bark,BARK,BARK Inc,dtc_brand,2018,,,,,,,,,,,,,0,0.23823862596270423,3.0,,
bark,BARK,BARK Inc,dtc_brand,2019,,,,,,,,,,,,,0,-0.013600063431292997,4.0,,
bark,BARK,BARK Inc,dtc_brand,2020,224.335,-31.368,,-135.387,,,,,-0.1398265986136804,,,,0,-0.14704822715938792,8.0,,
bark,BARK,BARK Inc,dtc_brand,2021,378.604,-31.391,150.863,-158.97,,-135.387,,-147.17849999999999,-0.08291248903867894,,,,0,-0.03813811265461758,10.0,,
bark,BARK,BARK Inc,dtc_brand,2022,507.406,-68.299,434.061,217.061,150.863,-158.97,292.462,29.045500000000004,-0.13460424196797044,1.7349467623144204,10.069098483413953,-2.3514485892823327,1,-0.5062204287905939,13.0,-1.8452281604917387,0.16666666666666666
bark,BARK,BARK Inc,dtc_brand,2023,535.315,-61.519,400.42,170.537,434.061,217.061,417.2405,193.799,-0.11492112120900777,1.2829890674562994,2.1529548656081814,-0.3174371384785267,1,-0.34996854239210196,12.0,0.03253140391357523,0.5454545454545454
bark,BARK,BARK Inc,dtc_brand,2024,490.184,-37.01,298.588,139.383,400.42,170.537,349.504,154.96,-0.07550226037569564,1.4025132759567844,2.2554465668559627,-0.23883582860092925,1,-0.1952285804425882,11.0,-0.04360724815834105,0.4
bbby,BBBY,Bed Bath & Beyond Inc,inventory_led_ecommerce,2017,12349.301,424.858,7040.806,2888.628,,,,,0.03440340469472726,,,,0,,,,
bbby,BBBY,Bed Bath & Beyond Inc,inventory_led_ecommerce,2018,12028.797,-137.224,6570.541,2560.331,7040.806,2888.628,6805.6735,2724.4795000000004,-0.011407957088310659,1.7674660707716878,2.4979719979541044,-0.050367051761630054,1,-0.13470214617836074,4.0,0.08433509441673068,0.6666666666666666
bbby,BBBY,Bed Bath & Beyond Inc,inventory_led_ecommerce,2019,11158.58,-613.816,7790.515,1764.935,6570.541,2560.331,7180.528,2162.633,-0.05500843297265423,1.5540054993170418,3.3202711694494633,-0.28382809288492317,1,-0.4163770536023661,4.0,0.13254896071744293,0.6666666666666666
bbby,BBBY,Bed Bath & Beyond Inc,inventory_led_ecommerce,2020,9233.028,-150.773,6456.93,1276.936,7790.515,1764.935,7123.7225,1520.9355,-0.01632974577787482,1.2960959666803418,4.683776859702466,-0.0991317514779555,1,-0.3440643863179074,5.0,0.24493263483995192,0.75
bbby,BBBY,Bed Bath & Beyond Inc,inventory_led_ecommerce,2021,7867.778,-559.623,5130.572,174.145,6456.93,1276.936,5793.751,725.5405,-0.07112846854601135,1.3579765509425585,7.985427415836884,-0.7713187616680255,1,-0.3462742776908513,5.0,-0.4250444839771742,0.25
bbby,BBBY,Bed Bath & Beyond Inc,inventory_led_ecommerce,2022,5344.685,-3498.801,2225.217,-2800.008,5130.572,174.145,3677.8945000000003,-1312.9315,-0.6546318445334008,1.4531914931219478,,,0,-1.0627646318876596,4.0,,
bbby,BBBY,Bed Bath & Beyond Inc,inventory_led_ecommerce,2023,,,,,2225.217,-2800.008,,,,,,,0,-0.2859960552268245,3.0,,
bbby,BBBY,Bed Bath & Beyond Inc,inventory_led_ecommerce,2024,,,,,,,,,,,,,0,0.4794520547945205,3.0,,
bird,BIRD,Allbirds Inc,dtc_brand,2017,,,,,,,,,,,,,0,,,,
bird,BIRD,Allbirds Inc,dtc_brand,2018,,,,,,,,,,,,,0,0.23823862596270423,3.0,,
bird,BIRD,Allbirds Inc,dtc_brand,2019,193.673,-14.527,,-9.118,,,,,-0.0750078740970605,,,,0,-0.013600063431292997,4.0,,
bird,BIRD,Allbirds Inc,dtc_brand,2020,219.296,-25.86,244.043,-25.507,,-9.118,,-17.3125,-0.1179228075295491,,,,0,-0.14704822715938792,8.0,,
bird,BIRD,Allbirds Inc,dtc_brand,2021,277.472,-45.37,488.429,397.004,244.043,-25.507,366.236,185.7485,-0.1635119940029985,0.7576316910407497,1.9716767564744802,-0.2442550007133301,1,-0.03813811265461758,10.0,-0.2061168880587125,0.2222222222222222
bird,BIRD,Allbirds Inc,dtc_brand,2022,297.766,-101.354,462.364,316.769,488.429,397.004,475.39649999999995,356.8865,-0.34038137329312274,0.6263529495904998,1.3320663572312204,-0.283995051648073,1,-0.5062204287905939,13.0,0.22222537714252094,0.75
bird,BIRD,Allbirds Inc,dtc_brand,2023,254.065,-152.458,312.705,185.329,462.364,316.769,387.5345,251.049,-0.6000747840119655,0.6555932439563446,1.543660799286195,-0.6072838370198647,1,-0.34996854239210196,12.0,-0.2573152946277627,0.18181818181818182
bird,BIRD,Allbirds Inc,dtc_brand,2024,189.757,-93.318,188.879,101.685,312.705,185.329,250.79199999999997,143.507,-0.49177632445706876,0.7566309930141313,1.7475941940114417,-0.6502679311810573,1,-0.1952285804425882,11.0,-0.45503935073846913,0.2
bkng,BKNG,Booking Holdings Inc,marketplace_platform,2017,12681.0,2341.0,25451.0,11261.0,,,,,0.18460689220093052,,,,0,,,,
bkng,BKNG,Booking Holdings Inc,marketplace_platform,2018,14527.0,3998.0,22687.0,8785.0,25451.0,11261.0,24069.0,10023.0,0.27521167481241826,0.603556441896215,2.401376833283448,0.3988825700887958,1,0.19426366772291523,7.0,0.20461890236588057,0.8333333333333334
