company_id,ticker,fiscal_year,period_end_date,revenue,operating_income,net_income,total_assets,total_liabilities,total_equity,current_assets,current_liabilities,cash_and_equivalents,inventory,total_debt,operating_cash_flow,capital_expenditure,free_cash_flow,row_data_as_of,prior_fiscal_year,prior_total_assets,prior_total_equity,prior_revenue,company_name,formal_peer_group,status_group,formal_sample_status,comparability_note,data_as_of,average_assets,average_equity,net_margin,operating_margin,current_ratio,quick_ratio,cash_ratio,liabilities_to_assets,total_debt_to_assets,operating_cash_flow_margin,free_cash_flow_margin,capital_expenditure_intensity,free_cash_flow_conversion,revenue_growth,average_balance_available_flag,asset_turnover,equity_multiplier,roe,roa,positive_average_equity_flag,dupont_roe,dupont_valid_flag,roe_valid_flag,near_zero_average_equity_flag,dupont_identity_gap,dupont_validity_reason,metric_flag_count,unresolved_conflict_count,quality_warning_count,quality_warnings,source_selection_method,source_selection_note
amzn,AMZN,2023,2023-12-31,574785.0,36852.0,30425.0,527854.0,325979.0,201875.0,172351.0,164917.0,73387.0,33318.0,,84946.0,52729.0,32217.0,2026-08-05,2022,462675.0,146043.0,513983.0,Amazon.com Inc,inventory_led_ecommerce,active,formal_included,"Inventory ownership, fulfillment intensity, and hybrid business exposure differ within this peer group.",2026-08-05,495264.5,173959.0,0.05293283575597832,0.0641144079960333,1.0450772206625152,0.8430483212767634,0.4449935422060794,0.6175552330758126,,0.14778743356211452,0.0560505232391242,0.09173691032299033,0.37926447390106655,0.1182957412988368,True,1.1605616796681368,2.8470185503480705,0.1748975333268184,0.06143182077455582,True,0.17489753332681834,True,True,False,5.551115123125783e-17,valid,0,0,0,,latest_valid_restated_sec_companyfacts,"Latest valid filing through 2026-08-05; filing date, source priority, and accession provide deterministic selection."
amzn,AMZN,2024,2024-12-31,637959.0,68593.0,59248.0,624894.0,338924.0,285970.0,190867.0,179431.0,78779.0,34214.0,,115877.0,82999.0,32878.0,2026-08-05,2023,527854.0,201875.0,574785.0,Amazon.com Inc,inventory_led_ecommerce,active,formal_included,"Inventory ownership, fulfillment intensity, and hybrid business exposure differ within this peer group.",2026-08-05,576374.0,243922.5,0.09287117197186653,0.1075194487420038,1.063734806137178,0.8730542659852534,0.43904899376361944,0.5423703860174686,,0.1816370644508503,0.05153622724971354,0.13010083720113674,0.28373188812275085,0.1099089224666614,True,1.1068490251121668,2.3629390482632804,0.24289682173641217,0.10279436615808485,True,0.2428968217364122,True,True,False,-2.7755575615628914e-17,valid,1,0,1,No consecutive t+1 annual observation is available,latest_valid_restated_sec_companyfacts,"Latest valid filing through 2026-08-05; filing date, source priority, and accession provide deterministic selection."
bird,BIRD,2020,2020-12-31,219.296,-29.224,-25.86,244.043,65.501,-25.507,214.84,54.652,126.551,59.222,,-34.578,14.35,-48.928000000000004,2026-08-05,2019,,-9.118,193.673,Allbirds Inc,dtc_brand,active,formal_included,"Channel mix, fiscal calendars, and inventory intensity differ within this peer group.",2026-08-05,,-17.3125,-0.1179228075295491,-0.13326280461111922,3.931054673205006,2.847434677596428,2.3155785698602065,0.2683994214134394,,-0.15767729461549687,-0.22311396468699843,0.06543667007150153,1.4150037596159408,0.1323003206435589,False,,,,,False,,False,False,False,,missing_prior_balance,1,0,1,Consecutive prior-year assets/equity are unavailable,latest_valid_restated_sec_companyfacts,"Latest valid filing through 2026-08-05; filing date, source priority, and accession provide deterministic selection."
bird,BIRD,2021,2021-12-31,277.472,-32.876,-45.37,488.429,91.425,397.004,444.368,81.156,288.576,106.876,,-50.85,24.181,-75.031,2026-08-05,2020,244.043,-25.507,219.296,Allbirds Inc,dtc_brand,active,formal_included,"Channel mix, fiscal calendars, and inventory intensity differ within this peer group.",2026-08-05,366.236,185.7485,-0.1635119940029985,-0.11848402721716066,5.475479323771501,4.1585588249790515,3.5558184237764308,0.1871817602967883,,-0.18326173451735672,-0.2704092665205859,0.08714753200322917,1.475535889872173,0.26528527652123146,True,0.7576316910407497,1.9716767564744802,-0.2442550007133301,-0.12388186852193667,True,-0.24425500071333012,True,True,False,2.7755575615628914e-17,valid,0,0,0,,latest_valid_restated_sec_companyfacts,"Latest valid filing through 2026-08-05; filing date, source priority, and accession provide deterministic selection."
bird,BIRD,2022,2022-12-31,297.766,-100.285,-101.354,462.364,145.595,316.769,308.934,50.012,167.136,116.796,,-90.583,31.363,-121.946,2026-08-05,2021,488.429,397.004,277.472,Allbirds Inc,dtc_brand,active,formal_included,"Channel mix, fiscal calendars, and inventory intensity differ within this peer group.",2026-08-05,475.39649999999995,356.8865,-0.34038137329312274,-0.33679130592478657,6.177197472606575,3.841837958889867,3.3419179396944734,0.314892595444282,,-0.3042086739251627,-0.40953634733314076,0.10532767340797806,1.3462349447468067,0.07313891131357408,True,0.6263529495904998,1.3320663572312204,-0.283995051648073,-0.21319887714781244,True,-0.2839950516480729,True,True,False,-5.551115123125783e-17,valid,0,0,0,,latest_valid_restated_sec_companyfacts,"Latest valid filing through 2026-08-05; filing date, source priority, and accession provide deterministic selection."
bird,BIRD,2023,2023-12-31,254.065,-153.003,-152.458,312.705,127.376,185.329,212.406,48.607,130.032,57.763,,-30.222,10.87,-41.092,2026-08-05,2022,462.364,316.769,297.766,Allbirds Inc,dtc_brand,active,formal_included,"Channel mix, fiscal calendars, and inventory intensity differ within this peer group.",2026-08-05,387.5345,251.049,-0.6000747840119655,-0.6022199043551847,4.3698644228197585,3.1814964922747753,2.67517024296912,0.40733598759213957,,-0.11895381103260977,-0.16173813787810207,0.04278432684549229,1.3596717622923697,-0.14676289435328416,True,0.6555932439563446,1.543660799286195,-0.6072838370198647,-0.3934049742668072,True,-0.6072838370198647,True,True,False,0.0,valid,0,0,0,,latest_valid_restated_sec_companyfacts,"Latest valid filing through 2026-08-05; filing date, source priority, and accession provide deterministic selection."
bird,BIRD,2024,2024-12-31,189.757,-97.553,-93.318,188.879,87.194,101.685,130.558,44.369,66.732,44.121,,-63.86,4.095,-67.955,2026-08-05,2023,312.705,185.329,254.065,Allbirds Inc,dtc_brand,active,formal_included,"Channel mix, fiscal calendars, and inventory intensity differ within this peer group.",2026-08-05,250.79199999999997,143.507,-0.49177632445706876,-0.5140943417107142,2.942549978588654,1.9481394667447989,1.5040230791769027,0.4616394623012617,,-0.33653567457327,-0.3581159061325801,0.021580231559310062,1.064124647666771,-0.25311632849861254,True,0.7566309930141313,1.7475941940114417,-0.6502679311810573,-0.37209320871479157,True,-0.6502679311810573,True,True,False,0.0,valid,1,0,1,No consecutive t+1 annual observation is available,latest_valid_restated_sec_companyfacts,"Latest valid filing through 2026-08-05; filing date, source priority, and accession provide deterministic selection."
bkng,BKNG,2018,2018-12-31,14527.0,5341.0,3998.0,22687.0,13902.0,8785.0,8407.0,3555.0,2624.0,,,5338.0,442.0,4896.0,2026-08-05,2017,25451.0,11261.0,12681.0,Booking Holdings Inc,marketplace_platform,active,formal_included,Marketplace revenue recognition and asset intensity differ; interpret margin and turnover together.,2026-08-05,24069.0,10023.0,0.27521167481241826,0.3676602189027328,2.3648382559774963,,0.7381153305203938,0.6127738352360382,,0.36745370689061746,0.3370276037722861,0.030426103118331382,0.9171974522292994,0.14557211576374107,True,0.603556441896215,2.401376833283448,0.3988825700887958,0.16610577921808134,True,0.39888257008879574,True,True,False,5.551115123125783e-17,valid,0,0,0,,latest_valid_restated_sec_companyfacts,"Latest valid filing through 2026-08-05; filing date, source priority, and accession provide deterministic selection."
bkng,BKNG,2019,2019-12-31,15066.0,5345.0,4865.0,21402.0,15469.0,5933.0,9833.0,5366.0,6312.0,,,4865.0,368.0,4497.0,2026-08-05,2018,22687.0,8785.0,14527.0,Booking Holdings Inc,marketplace_platform,active,formal_included,Marketplace revenue recognition and asset intensity differ; interpret margin and turnover together.,2026-08-05,22044.5,7359.0,0.32291251825302003,0.3547723350590734,1.8324636600819977,,1.1762951919493105,0.7227829174843473,,0.32291251825302003,0.2984866587017125,0.02442585955130758,0.9243576567317574,0.03710332484339496,True,0.6834357776316088,2.995583639081397,0.6610952575078136,0.22068996801923382,True,0.6610952575078136,True,True,False,0.0,valid,0,0,0,,latest_valid_restated_sec_companyfacts,"Latest valid filing through 2026-08-05; filing date, source priority, and accession provide deterministic selection."
bkng,BKNG,2020,2020-12-31,6796.0,-631.0,59.0,21874.0,16981.0,4893.0,12206.0,3425.0,10562.0,,,85.0,286.0,-201.0,2026-08-05,2019,21402.0,5933.0,15066.0,Booking Holdings Inc,marketplace_platform,active,formal_included,Marketplace revenue recognition and asset intensity differ; interpret margin and turnover together.,2026-08-05,21638.0,5413.0,0.008681577398469689,-0.09284873454973513,3.5637956204379564,,3.0837956204379564,0.7763097741611045,,0.012507357268981754,-0.029576221306650972,0.042083578575632725,-2.364705882352941,-0.5489180937209611,True,0.31407708660689526,3.9974136338444484,0.01089968594125254,0.0027266845364636288,True,0.01089968594125254,True,True,False,0.0,valid,0,0,0,,latest_valid_restated_sec_companyfacts,"Latest valid filing through 2026-08-05; filing date, source priority, and accession provide deterministic selection."
bkng,BKNG,2021,2021-12-31,10958.0,2496.0,1165.0,23641.0,17463.0,6178.0,13145.0,6246.0,11127.0,,,2820.0,304.0,2516.0,2026-08-05,2020,21874.0,4893.0,6796.0,Booking Holdings Inc,marketplace_platform,active,formal_included,Marketplace revenue recognition and asset intensity differ; interpret margin and turnover together.,2026-08-05,22757.5,5535.5,0.10631502098923161,0.2277787917503194,2.1045469100224143,,1.781460134486071,0.7386743369569815,,0.2573462310640628,0.22960394232524184,0.027742288738820953,0.8921985815602836,0.6124190700412007,True,0.48151158958585083,4.111191400957456,0.2104597597326348,0.051191914753378004,True,0.21045975973263484,True,True,False,-2.7755575615628914e-17,valid,0,0,0,,latest_valid_restated_sec_companyfacts,"Latest valid filing through 2026-08-05; filing date, source priority, and accession provide deterministic selection."
bkng,BKNG,2022,2022-12-31,17090.0,5102.0,3058.0,25361.0,22579.0,2782.0,15798.0,8474.0,12221.0,,,6554.0,368.0,6186.0,2026-08-05,2021,23641.0,6178.0,10958.0,Booking Holdings Inc,marketplace_platform,active,formal_included,Marketplace revenue recognition and asset intensity differ; interpret margin and turnover together.,2026-08-05,24501.0,4480.0,0.1789350497366881,0.29853715623171445,1.8642907717724806,,1.442176067972622,0.8903040100942392,,0.383499122293739,0.36196606202457576,0.021533060269163254,0.9438510833079036,0.5595911662712174,True,0.6975225500999959,5.468973214285715,0.6825892857142857,0.1248112321946043,True,0.6825892857142857,True,True,False,0.0,valid,0,0,0,,latest_valid_restated_sec_companyfacts,"Latest valid filing through 2026-08-05; filing date, source priority, and accession provide deterministic selection."
bkng,BKNG,2023,2023-12-31,21365.0,5835.0,4289.0,24342.0,27086.0,-2744.0,17034.0,13330.0,12107.0,,,7344.0,345.0,6999.0,2026-08-05,2022,25361.0,2782.0,17090.0,Booking Holdings Inc,marketplace_platform,active,formal_included,Marketplace revenue recognition and asset intensity differ; interpret margin and turnover together.,2026-08-05,24851.5,19.0,0.2007488883688275,0.2731102270067868,1.2778694673668418,,0.9082520630157539,1.112726973954482,,0.3437397612918324,0.327591855838989,0.016147905452843437,0.9530228758169934,0.2501462843768285,True,0.8597066575458222,1307.9736842105262,225.73684210526315,0.17258515582560408,True,225.73684210526312,True,True,True,2.842170943040401e-14,valid,0,0,1,Near-zero average equity; ROE is mechanically unstable,latest_valid_restated_sec_companyfacts,"Latest valid filing through 2026-08-05; filing date, source priority, and accession provide deterministic selection."
bkng,BKNG,2024,2024-12-31,23739.0,7555.0,5882.0,27708.0,31728.0,-4020.0,20491.0,15647.0,16164.0,,,8323.0,429.0,7894.0,2026-08-05,2023,24342.0,-2744.0,21365.0,Booking Holdings Inc,marketplace_platform,active,formal_included,Marketplace revenue recognition and asset intensity differ; interpret margin and turnover together.,2026-08-05,26025.0,-3382.0,0.24777791819368972,0.3182526643919289,1.3095801112034255,,1.0330414775995398,1.1450844521437853,,0.35060449050086356,0.33253296263532583,0.018071527865537722,0.9484560855460772,0.11111631172478353,True,0.9121613832853026,,,0.22601344860710854,False,,False,False,False,,nonpositive_average_equity,2,0,2,Average equity is nonpositive; ROE is invalid; No consecutive t+1 annual observation is available,latest_valid_restated_sec_companyfacts,"Latest valid filing through 2026-08-05; filing date, source priority, and accession provide deterministic selection."
byon,BYON,2018,2018-12-31,1821.592,-217.206,-206.07,461.219,250.513,210.706,215.267,241.486,141.512,14.108,,-138.934,28.68,-167.614,2026-08-05,2017,433.815,172.123,1744.756,Bed Bath & Beyond Inc,inventory_led_ecommerce,active,formal_included,"Inventory ownership, fulfillment intensity, and hybrid business exposure differ within this peer group.",2026-08-05,447.517,191.41449999999998,-0.11312632027369465,-0.1192396541047611,0.8914264180946307,0.8330048118731521,0.586004985796278,0.5431541198432849,,-0.07627064677490898,-0.0920151164475909,0.015744469672681918,1.2064289518764306,0.04403824947442514,True,4.070442016727856,2.337947229703079,-1.0765642101303716,-0.46047412723985903,True,-1.0765642101303716,True,True,False,0.0,valid,3,0,3,resolved_latest_restated: Later valid filing supplies the current comparative value; resolved_tag_priority: Configured canonical tag priority selects the concept-aligned value,latest_valid_restated_sec_companyfacts,"Latest valid filing through 2026-08-05; filing date, source priority, and accession provide deterministic selection."
byon,BYON,2019,2019-12-31,1434.974,-62.407,-121.841,417.727,239.872,177.855,177.363,215.999,112.266,5.84,,-81.612,12.835,-94.447,2026-08-05,2018,461.219,210.706,1821.592,Bed Bath & Beyond Inc,inventory_led_ecommerce,active,formal_included,"Inventory ownership, fulfillment intensity, and hybrid business exposure differ within this peer group.",2026-08-05,439.47299999999996,194.2805,-0.08490815861472055,-0.043489986578154026,0.8211288015222293,0.794091639313145,0.5197524062611402,0.5742314956897687,,-0.05687350432830142,-0.06581791725843117,0.008944412930129746,1.157268538940352,-0.21224181924382635,True,3.2652153829700574,2.2620540918929075,-0.6271396254384769,-0.2772434256484471,True,-0.6271396254384769,True,True,False,0.0,valid,6,0,6,resolved_latest_restated: Later valid filing supplies the current comparative value; resolved_tag_priority: Configured canonical tag priority selects the concept-aligned value,latest_valid_restated_sec_companyfacts,"Latest valid filing through 2026-08-05; filing date, source priority, and accession provide deterministic selection."
byon,BYON,2020,2020-12-31,2493.915,96.715,56.001,830.214,393.888,436.326,582.74,327.581,495.425,6.243,,196.474,14.874,181.6,2026-08-05,2019,417.727,177.855,1434.974,Bed Bath & Beyond Inc,inventory_led_ecommerce,active,formal_included,"Inventory ownership, fulfillment intensity, and hybrid business exposure differ within this peer group.",2026-08-05,623.9705,307.0905,0.022455055605343405,0.038780391472844906,1.7789188017620068,1.7598609198946213,1.5123740387873532,0.47444152953334917,,0.07878135381518617,0.07281723715523584,0.005964116659950319,0.9242953266081009,0.7379513496411783,True,3.996847607378874,2.0318782248229756,0.18235992321481775,0.08974943526977637,True,0.18235992321481778,True,True,False,-2.7755575615628914e-17,valid,7,0,7,resolved_latest_restated: Later valid filing supplies the current comparative value; resolved_tag_priority: Configured canonical tag priority selects the concept-aligned value,latest_valid_restated_sec_companyfacts,"Latest valid filing through 2026-08-05; filing date, source priority, and accession provide deterministic selection."
byon,BYON,2021,2021-12-31,2756.446,111.072,389.372,1065.966,321.58,744.386,551.79,272.333,503.341,5.137,,80.919,13.617,67.30199999999999,2026-08-05,2020,830.214,436.326,2493.915,Bed Bath & Beyond Inc,inventory_led_ecommerce,active,formal_included,"Inventory ownership, fulfillment intensity, and hybrid business exposure differ within this peer group.",2026-08-05,948.0899999999999,590.356,0.14125870777080343,0.040295365844279195,2.026159150745594,2.00729621456085,1.848255628219863,0.30167941566616574,,0.02935627978926487,0.024416222918932567,0.004940056870332305,0.8317206094983872,0.10526862383040325,True,2.907367444019028,1.6059631815379194,0.6595545738503548,0.41069096815703154,True,0.6595545738503548,True,True,False,0.0,valid,2,0,2,resolved_latest_restated: Later valid filing supplies the current comparative value; resolved_tag_priority: Configured canonical tag priority selects the concept-aligned value,latest_valid_restated_sec_companyfacts,"Latest valid filing through 2026-08-05; filing date, source priority, and accession provide deterministic selection."
byon,BYON,2022,2022-12-31,1929.334,27.008,-35.236,878.546,232.72,645.826,414.509,191.142,371.263,6.526,,-12.535,14.899,-27.433999999999997,2026-08-05,2021,1065.966,744.386,2756.446,Bed Bath & Beyond Inc,inventory_led_ecommerce,active,formal_included,"Inventory ownership, fulfillment intensity, and hybrid business exposure differ within this peer group.",2026-08-05,972.256,695.106,-0.018263297075571155,0.013998612992877335,2.16859193688462,2.134449780791244,1.9423412959998325,0.26489221964473114,,-0.006497060643724725,-0.01421941457518501,0.007722353931460286,2.1885919425608296,-0.3000646484640004,True,1.9843888852318732,1.3987161670306398,-0.05069154920256766,-0.03624148372445117,True,-0.05069154920256766,True,True,False,0.0,valid,1,0,1,resolved_latest_restated: Later valid filing supplies the current comparative value,latest_valid_restated_sec_companyfacts,"Latest valid filing through 2026-08-05; filing date, source priority, and accession provide deterministic selection."
