company_id,ticker,accession_number,form,filing_date,period_start,period_end,fiscal_year,fiscal_period,duration_days,canonical_field,taxonomy,source_tag,value_raw,value_standardized,unit,flow_or_stock,source_priority,source_url,loaded_at,cik,source_unit,reported_fiscal_year,frame,is_latest_restated,source_selection_method,source_selection_note,manual_value,absolute_gap,relative_gap,match_within_tolerance,reconciliation_status
amzn,AMZN,0001018724-26-000004,10-K,2026-02-06,2023-01-01,2023-12-31,2023,FY,364.0,net_income,us-gaap,NetIncomeLoss,30425000000.0,30425.0,USD_millions,flow,1,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000004/,2026-08-05T12:11:50+00:00,1018724,USD,2025,,True,latest_valid_restated_sec_companyfacts,Latest valid filing available as of 2026-08-05; configured source-tag priority breaks valid same-filing ties,30425.0,0.0,0.0,True,match
amzn,AMZN,0001018724-26-000004,10-K,2026-02-06,2023-01-01,2023-12-31,2023,FY,364.0,revenue,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,574785000000.0,574785.0,USD_millions,flow,1,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000004/,2026-08-05T12:11:50+00:00,1018724,USD,2025,CY2023,True,latest_valid_restated_sec_companyfacts,Latest valid filing available as of 2026-08-05; configured source-tag priority breaks valid same-filing ties,574785.0,0.0,0.0,True,match
amzn,AMZN,0001018724-26-000004,10-K,2026-02-06,,2023-12-31,2023,FY,,total_assets,us-gaap,Assets,527854000000.0,527854.0,USD_millions,stock,1,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000004/,2026-08-05T12:11:50+00:00,1018724,USD,2025,CY2023Q4I,True,latest_valid_restated_sec_companyfacts,Latest valid filing available as of 2026-08-05; configured source-tag priority breaks valid same-filing ties,527854.0,0.0,0.0,True,match
amzn,AMZN,0001018724-26-000004,10-K,2026-02-06,,2023-12-31,2023,FY,,total_equity,us-gaap,StockholdersEquity,201875000000.0,201875.0,USD_millions,stock,1,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000004/,2026-08-05T12:11:50+00:00,1018724,USD,2025,CY2023Q4I,True,latest_valid_restated_sec_companyfacts,Latest valid filing available as of 2026-08-05; configured source-tag priority breaks valid same-filing ties,201875.0,0.0,0.0,True,match
chwy,CHWY,0001766502-26-000034,10-K,2026-03-25,2023-01-30,2024-01-28,2023,FY,363.0,net_income,us-gaap,NetIncomeLoss,39600000.0,39.6,USD_millions,flow,1,https://www.sec.gov/Archives/edgar/data/1766502/000176650226000034/,2026-08-05T12:11:50+00:00,1766502,USD,2025,,True,latest_valid_restated_sec_companyfacts,Latest valid filing available as of 2026-08-05; configured source-tag priority breaks valid same-filing ties,39.58,0.0200000000000031,0.0005053057099546,True,match
chwy,CHWY,0001766502-26-000034,10-K,2026-03-25,2023-01-30,2024-01-28,2023,FY,363.0,revenue,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,11147700000.0,11147.7,USD_millions,flow,1,https://www.sec.gov/Archives/edgar/data/1766502/000176650226000034/,2026-08-05T12:11:50+00:00,1766502,USD,2025,CY2023,True,latest_valid_restated_sec_companyfacts,Latest valid filing available as of 2026-08-05; configured source-tag priority breaks valid same-filing ties,11147.72,0.0199999999986175,1.7940888359787982e-06,True,match
chwy,CHWY,0001766502-25-000014,10-K,2025-03-26,,2024-01-28,2023,FY,,total_assets,us-gaap,Assets,3186851000.0,3186.851,USD_millions,stock,1,https://www.sec.gov/Archives/edgar/data/1766502/000176650225000014/,2026-08-05T12:11:50+00:00,1766502,USD,2024,CY2023Q4I,True,latest_valid_restated_sec_companyfacts,Latest valid filing available as of 2026-08-05; configured source-tag priority breaks valid same-filing ties,3186.851,0.0,0.0,True,match
chwy,CHWY,0001766502-26-000034,10-K,2026-03-25,,2024-01-28,2023,FY,,total_equity,us-gaap,StockholdersEquity,510300000.0,510.3,USD_millions,stock,1,https://www.sec.gov/Archives/edgar/data/1766502/000176650226000034/,2026-08-05T12:11:50+00:00,1766502,USD,2025,CY2023Q4I,True,latest_valid_restated_sec_companyfacts,Latest valid filing available as of 2026-08-05; configured source-tag priority breaks valid same-filing ties,510.244,0.0559999999999831,0.0001097514130494,True,match
