h1_driver_group,transitions,unique_companies,median_peer_relative_outcome,median_raw_roe_outcome,reversal_rate
leverage_driven,4,3,0.35242975575281144,-0.13990611813603962,0.5
operating_driven,17,10,-0.1189847670277375,0.0136392708467328,0.47058823529411764
