company_id,ticker,peer_group,fiscal_year,canonical_field,coverage_verified,fact_available,winning_tag,winning_accession,winning_filing_date,version_count,conflict_count,max_relative_difference,latest_restated_selectable
aka,AKA,dtc_brand,2023,total_assets,1,1,Assets,0001865107-25-000016,2025-03-06,2,0,,1
aka,AKA,dtc_brand,2023,total_equity,1,1,StockholdersEquity,0001865107-26-000008,2026-03-05,3,0,,1
aka,AKA,dtc_brand,2024,revenue,1,1,RevenueFromContractWithCustomerExcludingAssessedTax,0001865107-26-000008,2026-03-05,2,0,,1
aka,AKA,dtc_brand,2024,net_income,1,1,NetIncomeLoss,0001865107-26-000008,2026-03-05,3,0,,1
aka,AKA,dtc_brand,2024,total_assets,1,1,Assets,0001865107-26-000008,2026-03-05,2,0,,1
aka,AKA,dtc_brand,2024,total_equity,1,1,StockholdersEquity,0001865107-26-000008,2026-03-05,2,0,,1
amzn,AMZN,hybrid,2018,revenue,1,1,RevenueFromContractWithCustomerExcludingAssessedTax,0001018724-21-000004,2021-02-03,3,0,,1
amzn,AMZN,hybrid,2018,net_income,1,1,NetIncomeLoss,0001018724-21-000004,2021-02-03,3,0,,1
amzn,AMZN,hybrid,2018,total_assets,1,1,Assets,0001018724-21-000004,2021-02-03,3,0,,1
amzn,AMZN,hybrid,2018,total_equity,1,1,StockholdersEquity,0001018724-22-000005,2022-02-04,4,0,,1
amzn,AMZN,hybrid,2019,revenue,1,1,RevenueFromContractWithCustomerExcludingAssessedTax,0001018724-22-000005,2022-02-04,3,0,,1
amzn,AMZN,hybrid,2019,net_income,1,1,NetIncomeLoss,0001018724-22-000005,2022-02-04,3,0,,1
amzn,AMZN,hybrid,2019,total_assets,1,1,Assets,0001018724-22-000005,2022-02-04,3,0,,1
amzn,AMZN,hybrid,2019,total_equity,1,1,StockholdersEquity,0001018724-23-000004,2023-02-03,4,0,,1
amzn,AMZN,hybrid,2020,revenue,1,1,RevenueFromContractWithCustomerExcludingAssessedTax,0001018724-23-000004,2023-02-03,3,0,,1
amzn,AMZN,hybrid,2020,net_income,1,1,NetIncomeLoss,0001018724-23-000004,2023-02-03,3,0,,1
amzn,AMZN,hybrid,2020,total_assets,1,1,Assets,0001018724-23-000004,2023-02-03,3,0,,1
amzn,AMZN,hybrid,2020,total_equity,1,1,StockholdersEquity,0001018724-24-000008,2024-02-02,4,0,,1
amzn,AMZN,hybrid,2021,revenue,1,1,RevenueFromContractWithCustomerExcludingAssessedTax,0001018724-24-000008,2024-02-02,3,0,,1
amzn,AMZN,hybrid,2021,net_income,1,1,NetIncomeLoss,0001018724-24-000008,2024-02-02,3,0,,1
amzn,AMZN,hybrid,2021,total_assets,1,1,Assets,0001018724-24-000008,2024-02-02,3,0,,1
amzn,AMZN,hybrid,2021,total_equity,1,1,StockholdersEquity,0001018724-25-000004,2025-02-07,4,0,,1
amzn,AMZN,hybrid,2022,revenue,1,1,RevenueFromContractWithCustomerExcludingAssessedTax,0001018724-25-000004,2025-02-07,3,0,,1
amzn,AMZN,hybrid,2022,net_income,1,1,NetIncomeLoss,0001018724-25-000004,2025-02-07,3,0,,1
amzn,AMZN,hybrid,2022,total_assets,1,1,Assets,0001018724-25-000004,2025-02-07,3,0,,1
amzn,AMZN,hybrid,2022,total_equity,1,1,StockholdersEquity,0001018724-26-000004,2026-02-06,4,0,,1
amzn,AMZN,hybrid,2023,revenue,1,1,RevenueFromContractWithCustomerExcludingAssessedTax,0001018724-26-000004,2026-02-06,3,0,,1
amzn,AMZN,hybrid,2023,net_income,1,1,NetIncomeLoss,0001018724-26-000004,2026-02-06,3,0,,1
amzn,AMZN,hybrid,2023,total_assets,1,1,Assets,0001018724-26-000004,2026-02-06,3,0,,1
amzn,AMZN,hybrid,2023,total_equity,1,1,StockholdersEquity,0001018724-26-000004,2026-02-06,3,0,,1
amzn,AMZN,hybrid,2024,revenue,1,1,RevenueFromContractWithCustomerExcludingAssessedTax,0001018724-26-000004,2026-02-06,2,0,,1
amzn,AMZN,hybrid,2024,net_income,1,1,NetIncomeLoss,0001018724-26-000004,2026-02-06,2,0,,1
amzn,AMZN,hybrid,2024,total_assets,1,1,Assets,0001018724-26-000004,2026-02-06,2,0,,1
amzn,AMZN,hybrid,2024,total_equity,1,1,StockholdersEquity,0001018724-26-000004,2026-02-06,2,0,,1
aprn,APRN,inventory_led_ecommerce,2018,revenue,1,1,RevenueFromContractWithCustomerExcludingAssessedTax,0001558370-21-001484,2021-02-23,3,0,,1
aprn,APRN,inventory_led_ecommerce,2018,net_income,1,1,NetIncomeLoss,0001558370-21-001484,2021-02-23,6,0,,1
aprn,APRN,inventory_led_ecommerce,2018,total_assets,1,1,Assets,0001558370-20-000920,2020-02-18,2,0,,1
aprn,APRN,inventory_led_ecommerce,2018,total_equity,1,1,StockholdersEquity,0001558370-22-002191,2022-02-25,4,0,,1
aprn,APRN,inventory_led_ecommerce,2019,revenue,1,1,RevenueFromContractWithCustomerExcludingAssessedTax,0001558370-22-002191,2022-02-25,3,0,,1
aprn,APRN,inventory_led_ecommerce,2019,net_income,1,1,NetIncomeLoss,0001558370-22-002191,2022-02-25,6,0,,1
aprn,APRN,inventory_led_ecommerce,2019,total_assets,1,1,Assets,0001558370-21-001484,2021-02-23,2,0,,1
aprn,APRN,inventory_led_ecommerce,2019,total_equity,1,1,StockholdersEquity,0001701114-23-000020,2023-03-16,4,0,,1
aprn,APRN,inventory_led_ecommerce,2020,revenue,1,1,RevenueFromContractWithCustomerExcludingAssessedTax,0001701114-23-000020,2023-03-16,3,0,,1
aprn,APRN,inventory_led_ecommerce,2020,net_income,1,1,NetIncomeLoss,0001701114-23-000020,2023-03-16,6,0,,1
aprn,APRN,inventory_led_ecommerce,2020,total_assets,1,1,Assets,0001558370-22-002191,2022-02-25,2,0,,1
aprn,APRN,inventory_led_ecommerce,2020,total_equity,1,1,StockholdersEquity,0001701114-23-000020,2023-03-16,3,0,,1
aprn,APRN,inventory_led_ecommerce,2021,revenue,1,1,RevenueFromContractWithCustomerExcludingAssessedTax,0001701114-23-000020,2023-03-16,2,0,,1
aprn,APRN,inventory_led_ecommerce,2021,net_income,1,1,NetIncomeLoss,0001701114-23-000020,2023-03-16,4,0,,1
aprn,APRN,inventory_led_ecommerce,2021,total_assets,1,1,Assets,0001701114-23-000020,2023-03-16,2,0,,1
aprn,APRN,inventory_led_ecommerce,2021,total_equity,1,1,StockholdersEquity,0001701114-23-000020,2023-03-16,2,0,,1
aprn,APRN,inventory_led_ecommerce,2022,revenue,1,1,RevenueFromContractWithCustomerExcludingAssessedTax,0001701114-23-000020,2023-03-16,1,0,,1
