company_id,ticker,cik,artifact,relative_path,source_url,sha256,fetched_at
expe,EXPE,0001324424,submissions,data/raw/sec/CIK0001324424/submissions.json.gz,https://data.sec.gov/submissions/CIK0001324424.json,de0a46d13a9fda9f1c03bef1b891f8884ad9974a99cffa1a9360eee4bcddd16a,2026-08-05T17:49:37+00:00
figs,FIGS,0001846576,companyfacts,data/raw/sec/CIK0001846576/companyfacts.json.gz,https://data.sec.gov/api/xbrl/companyfacts/CIK0001846576.json,bb49f35f9afa157fa956b94655ffd5aa1c2f3bea5416809239094a88bd2bfd0e,2026-08-05T17:49:37+00:00
figs,FIGS,0001846576,submissions,data/raw/sec/CIK0001846576/submissions.json.gz,https://data.sec.gov/submissions/CIK0001846576.json,183d5525e5afd247f8d45494455104c46b9de95ae07e7b4bbe1826fe1f5626be,2026-08-05T17:49:37+00:00
love,LOVE,0001701758,companyfacts,data/raw/sec/CIK0001701758/companyfacts.json.gz,https://data.sec.gov/api/xbrl/companyfacts/CIK0001701758.json,31e10507acbcc24e3e543dfb5837eb18bdddfca005da6937efe2df7331aa5e46,2026-08-05T17:49:37+00:00
love,LOVE,0001701758,submissions,data/raw/sec/CIK0001701758/submissions.json.gz,https://data.sec.gov/submissions/CIK0001701758.json,e9f1de7c241b39c9043be39bacbf4fefd6e5468d50a7b4c7f16bd076425f30c7,2026-08-05T17:49:37+00:00
pton,PTON,0001639825,companyfacts,data/raw/sec/CIK0001639825/companyfacts.json.gz,https://data.sec.gov/api/xbrl/companyfacts/CIK0001639825.json,49fcd916e73d37ae6ae33f4dfa428f3e1d2ae7b7b6ba4aed1133b5674223ab02,2026-08-05T17:49:37+00:00
pton,PTON,0001639825,submissions,data/raw/sec/CIK0001639825/submissions.json.gz,https://data.sec.gov/submissions/CIK0001639825.json,284841e71a3379fdbce95a8d205a0e78b70c5b1f0e214e4d9d299e91c88afcfd,2026-08-05T17:49:37+00:00
qvcga,QVCGA,0001355096,companyfacts,data/raw/sec/CIK0001355096/companyfacts.json.gz,https://data.sec.gov/api/xbrl/companyfacts/CIK0001355096.json,5d79b2e8f88b211c5a6387896c8bb790dd7753ecf0b2e9f60b2fa94dbeca1782,2026-08-05T17:49:37+00:00
qvcga,QVCGA,0001355096,submissions,data/raw/sec/CIK0001355096/submissions.json.gz,https://data.sec.gov/submissions/CIK0001355096.json,15be632644b94b06ead09dde790cf36e200f8a2505e00543e7c997c7f4f49c56,2026-08-05T17:49:37+00:00
rvlv,RVLV,0001746618,companyfacts,data/raw/sec/CIK0001746618/companyfacts.json.gz,https://data.sec.gov/api/xbrl/companyfacts/CIK0001746618.json,4715a5d596e7e6b0331e38c70b98284a7c507ec041aa789714f07f03f47f098d,2026-08-05T17:49:37+00:00
rvlv,RVLV,0001746618,submissions,data/raw/sec/CIK0001746618/submissions.json.gz,https://data.sec.gov/submissions/CIK0001746618.json,f346542d1c8b89a93d33b185948ed2b125cc2f6e6481b2a3ce3140edc351703f,2026-08-05T17:49:37+00:00
sfix,SFIX,0001576942,companyfacts,data/raw/sec/CIK0001576942/companyfacts.json.gz,https://data.sec.gov/api/xbrl/companyfacts/CIK0001576942.json,48bee24e717b6dd4a320764f0990e9bfcdbc0a7e5e6d15fd0e0c5af4886cfa97,2026-08-05T17:49:37+00:00
sfix,SFIX,0001576942,submissions,data/raw/sec/CIK0001576942/submissions.json.gz,https://data.sec.gov/submissions/CIK0001576942.json,e606ddaabc1e79bd3ff31a4b66cd9db37cbe51f50a6b69466d0b7f5510dc473d,2026-08-05T17:49:37+00:00
snbr,SNBR,0000827187,companyfacts,data/raw/sec/CIK0000827187/companyfacts.json.gz,https://data.sec.gov/api/xbrl/companyfacts/CIK0000827187.json,5cc575987044a56b18c7ad8882d0de5ef741af6a0544e32ae3622c4e7b685d06,2026-08-05T17:49:37+00:00
snbr,SNBR,0000827187,submissions,data/raw/sec/CIK0000827187/submissions.json.gz,https://data.sec.gov/submissions/CIK0000827187.json,45eed0cd31dec2a527afed7074153a07adfebf31dcc043ebc6478a0f740912e5,2026-08-05T17:49:37+00:00
vrm,VRM,0001580864,companyfacts,data/raw/sec/CIK0001580864/companyfacts.json.gz,https://data.sec.gov/api/xbrl/companyfacts/CIK0001580864.json,06523afd120bfc88d2a9c3aa58fc0c22f0c6bb1ed68669734fba3703a12ef5a5,2026-08-05T17:49:37+00:00
vrm,VRM,0001580864,submissions,data/raw/sec/CIK0001580864/submissions.json.gz,https://data.sec.gov/submissions/CIK0001580864.json,52d4d22e7e97ccbfac1f53c66952377a588acc21d4db9b811254758ef9b348b4,2026-08-05T17:49:37+00:00
w,W,0001616707,companyfacts,data/raw/sec/CIK0001616707/companyfacts.json.gz,https://data.sec.gov/api/xbrl/companyfacts/CIK0001616707.json,3c408c2fa555a8d0e81b828c1a9d64904cdea9739c07a9e31c41d8cb88c0c745,2026-08-05T17:49:37+00:00
w,W,0001616707,submissions,data/raw/sec/CIK0001616707/submissions.json.gz,https://data.sec.gov/submissions/CIK0001616707.json,4713b4bd4805c76c6fa17a3ecc935e41ad902d4d905f6c1eabab4da6a7735699,2026-08-05T17:49:37+00:00
